params,mean_concordance,std_concordance,split0_c_index,split1_c_index,split2_c_index,split3_c_index,split4_c_index,split5_c_index,split6_c_index,split7_c_index,split8_c_index
"{'batch_size': 32, 'decay_lr': 0.003, 'dropout': 0.3, 'epochs': 500, 'hidden1': 128, 'hidden2': 64, 'hidden3': 64, 'hidden4': 16, 'lr': 0.001, 'weight_decay': 1e-05}",0.6874970214622185,0.11074690898165655,0.7114093959731543,0.41216216216216217,0.6857142857142857,0.7816901408450704,0.6879432624113475,0.7662337662337663,0.7625,0.6083916083916084,0.7714285714285715
"{'batch_size': 32, 'decay_lr': 0.003, 'dropout': 0.3, 'epochs': 500, 'hidden1': 128, 'hidden2': 64, 'hidden3': 64, 'hidden4': 16, 'lr': 0.0005, 'weight_decay': 0.0001}",0.6564006018779049,0.09392179403044165,0.6308724832214765,0.7432432432432432,0.6285714285714286,0.7464788732394366,0.7092198581560284,0.6883116883116883,0.41875,0.6993006993006993,0.6428571428571429
"{'batch_size': 32, 'decay_lr': 0.003, 'dropout': 0.3, 'epochs': 500, 'hidden1': 128, 'hidden2': 64, 'hidden3': 64, 'hidden4': 16, 'lr': 0.0005, 'weight_decay': 1e-05}",0.6241057085346279,0.14567385986460166,0.697986577181208,0.3918918918918919,0.7571428571428571,0.5352112676056338,0.6524822695035462,0.7142857142857143,0.71875,0.3706293706293706,0.7785714285714286
"{'batch_size': 32, 'decay_lr': 0.003, 'dropout': 0.3, 'epochs': 500, 'hidden1': 128, 'hidden2': 64, 'hidden3': 64, 'hidden4': 32, 'lr': 0.01, 'weight_decay': 0.0001}",0.7537789064173506,0.0898265445721966,0.5973154362416108,0.8378378378378378,0.6857142857142857,0.7816901408450704,0.723404255319149,0.7142857142857143,0.70625,0.916083916083916,0.8214285714285714
"{'batch_size': 32, 'decay_lr': 0.003, 'dropout': 0.3, 'epochs': 500, 'hidden1': 128, 'hidden2': 64, 'hidden3': 64, 'hidden4': 32, 'lr': 0.01, 'weight_decay': 1e-05}",0.6931395286370795,0.10168301046319167,0.5033557046979866,0.8243243243243243,0.6214285714285714,0.6267605633802817,0.8226950354609929,0.6168831168831169,0.73125,0.7272727272727273,0.7642857142857142
"{'batch_size': 32, 'decay_lr': 0.003, 'dropout': 0.3, 'epochs': 500, 'hidden1': 128, 'hidden2': 64, 'hidden3': 64, 'hidden4': 32, 'lr': 0.001, 'weight_decay': 0.0001}",0.6643308306698669,0.11253505250803149,0.48322147651006714,0.6486486486486487,0.6,0.5985915492957746,0.7943262411347518,0.7857142857142857,0.64375,0.8461538461538461,0.5785714285714286
"{'batch_size': 32, 'decay_lr': 0.003, 'dropout': 0.3, 'epochs': 500, 'hidden1': 128, 'hidden2': 64, 'hidden3': 64, 'hidden4': 32, 'lr': 0.001, 'weight_decay': 1e-05}",0.710038854476764,0.09660896033156784,0.697986577181208,0.7432432432432432,0.6785714285714286,0.8380281690140845,0.6595744680851063,0.8051948051948052,0.76875,0.7132867132867133,0.4857142857142857
"{'batch_size': 32, 'decay_lr': 0.003, 'dropout': 0.3, 'epochs': 500, 'hidden1': 128, 'hidden2': 64, 'hidden3': 64, 'hidden4': 32, 'lr': 0.0005, 'weight_decay': 0.0001}",0.6504071148180917,0.107808498040237,0.5838926174496645,0.7702702702702703,0.5285714285714286,0.6619718309859155,0.5815602836879432,0.7337662337662337,0.725,0.7972027972027972,0.4714285714285714
"{'batch_size': 32, 'decay_lr': 0.003, 'dropout': 0.3, 'epochs': 500, 'hidden1': 128, 'hidden2': 64, 'hidden3': 64, 'hidden4': 32, 'lr': 0.0005, 'weight_decay': 1e-05}",0.6582721422387848,0.11676595894689558,0.6711409395973155,0.41216216216216217,0.6714285714285714,0.6901408450704225,0.624113475177305,0.8116883116883117,0.61875,0.8321678321678322,0.5928571428571429
"{'batch_size': 32, 'decay_lr': 0.003, 'dropout': 0.3, 'epochs': 500, 'hidden1': 128, 'hidden2': 128, 'hidden3': 32, 'hidden4': 16, 'lr': 0.01, 'weight_decay': 0.0001}",0.7326237178540418,0.04704367040281482,0.6778523489932886,0.7297297297297297,0.6928571428571428,0.8028169014084507,0.7730496453900709,0.7857142857142857,0.675,0.6923076923076923,0.7642857142857142
