split,c_index,brier_score,ibs
0,0.5503355704697986,"[0.02754134103466319, 0.02754134103466319, 0.02754134103466319, 0.02754134103466319, 0.0551304726864731, 0.054725451446604505, 0.05434174997486865, 0.05397943665673003, 0.05302407137941096, 0.05302407137941096, 0.05302407137941096, 0.052496016887885806, 0.052496016887885806, 0.052496016887885806, 0.052496016887885806, 0.052496016887885806, 0.052263496055708555, 0.051554928254505285, 0.05143275357131601, 0.05133287136543845, 0.05132605278650461, 0.05132605278650461, 0.051281738531613635, 0.051199081540922245, 0.051226722348648925, 0.051329011645301445, 0.08083318125058477, 0.0805986972657218, 0.08054020781653758, 0.08047418978924431, 0.11053125551757743, 0.10990603914373577, 0.11005782695697906, 0.11005782695697906, 0.11005782695697906, 0.10993537530265264, 0.1101638187508289, 0.11019063403649536, 0.11019063403649536, 0.1105268803543778, 0.1105268803543778, 0.15169241129659009, 0.15099985768650465, 0.15099985768650465, 0.15099985768650465, 0.1503581284108075, 0.1503581284108075, 0.1505370677056899, 0.1505370677056899, 0.1505370677056899, 0.14996158680760982, 0.14930699994478486, 0.14943994019980147, 0.14897233171520938, 0.14984781413483284, 0.14984781413483284, 0.14984781413483284, 0.15053618186403045, 0.15261782734901988, 0.15261782734901988, 0.15261782734901988, 0.15261782734901988, 0.15261782734901988, 0.15426516822415298, 0.15625000284220864, 0.15522654282274184, 0.15755373308894038, 0.15755373308894038, 0.15755373308894038, 0.1589837612163208, 0.1589837612163208, 0.1660246016015524, 0.1660246016015524, 0.17041318415899226, 0.17557287603294827, 0.2060335858071329, 0.24114005537393174, 0.23907826439189853, 0.23907826439189853, 0.23907826439189853, 0.23907826439189853, 0.23765205655430982, 0.23765205655430982, 0.23048662004542644, 0.23048662004542644, 0.23048662004542644, 0.2304276547967904, 0.2304276547967904, 0.2304276547967904, 0.23454243792470203, 0.23454243792470203, 0.23454243792470203, 0.22780266810351682, 0.22780266810351682, 0.21196541301359761, 0.21196541301359761, 0.21196541301359761, 0.21196541301359761, 0.21196541301359761, 0.21196541301359761]",0.13755626039201443
1,0.8648648648648649,"[0.02630000319211017, 0.05227939482045733, 0.05227939482045733, 0.05175295905145955, 0.05175788737967676, 0.05175788737967676, 0.05121133362062549, 0.050129749295803466, 0.07968140990881797, 0.07755998411561721, 0.07758049755638184, 0.07421794091008131, 0.10509236842942625, 0.10351193490150679, 0.1035570247773431, 0.09884116765576201, 0.09559554714416982, 0.09559554714416982, 0.0957214147205595, 0.09533879549583307, 0.0935842739971102, 0.09216847200208264, 0.09216847200208264, 0.09237412926995833, 0.09237412926995833, 0.09260438113750796, 0.09286281140812577, 0.08994938375419398, 0.08662327920646364, 0.08662327920646364, 0.08407934080300314, 0.0816229363904967, 0.0816229363904967, 0.0816459113273284, 0.0816459113273284, 0.08167471205423057, 0.08167471205423057, 0.07072994768774706, 0.07077956481009401, 0.06804092132305935, 0.06524672438881124, 0.06246460778643578, 0.06246460778643578, 0.06246460778643578, 0.06246460778643578, 0.2315943248092709, 0.2315943248092709, 0.23161942959812098, 0.23161942959812098, 0.23161942959812098, 0.22830119023942994, 0.22485364365397667, 0.22485364365397667, 0.32840200313683077, 0.32840200313683077, 0.32840200313683077, 0.32840200313683077, 0.32867285947976427, 0.32867285947976427, 0.440757011483794, 0.42192731577355813, 0.42192731577355813, 0.4041892474792134, 0.3872320545730224, 0.3554936190583088, 0.3411047662524884, 0.3411047662524884, 0.3411047662524884, 0.3411047662524884, 0.3411047662524884, 0.32638318998446514, 0.32638318998446514, 0.3106132974268162, 0.3106132974268162, 0.2949306064340562, 0.2956614982914233, 0.2956614982914233, 0.2956614982914233, 0.26387966213715497, 0.26387966213715497, 0.26387966213715497, 0.23749525862838974, 0.23749525862838974, 0.23749525862838974, 0.23749525862838974, 0.23749525862838974, 0.23749525862838974, 0.23749525862838974, 0.23749525862838974, 0.23749525862838974, 0.23749525862838974, 0.23749525862838974, 0.23749525862838974, 0.23749525862838974, 0.1393596315221163, 0.1393596315221163, 0.1393596315221163, 0.1393596315221163, 0.1393596315221163, 0.1393596315221163]",0.1880599196214219
2,0.7642857142857142,"[0.027087735085020565, 0.02692553025974536, 0.02692553025974536, 0.02670449124442431, 0.026621749307404526, 0.026621749307404526, 0.026621749307404526, 0.026679736477436242, 0.026679736477436242, 0.026679736477436242, 0.026679736477436242, 0.026679736477436242, 0.026679736477436242, 0.026881071681874938, 0.027225444469975792, 0.02771131352866934, 0.02800918718932641, 0.02800918718932641, 0.02800918718932641, 0.02798655749792401, 0.02833424119044505, 0.029135427496670665, 0.02951151539333149, 0.0791190561484183, 0.07900188226558237, 0.07879149206518321, 0.07864710668362533, 0.07887293998428781, 0.07904641144382948, 0.07958317101814726, 0.080284988547381, 0.080284988547381, 0.080284988547381, 0.080284988547381, 0.10566648891358021, 0.1060446308223491, 0.10545768050685092, 0.10620045116476354, 0.10620045116476354, 0.10620045116476354, 0.10579178337320864, 0.10675032134850779, 0.106246204605654, 0.10635614987037406, 0.10635614987037406, 0.10635614987037406, 0.10681486328612774, 0.10707128178765977, 0.10707128178765977, 0.10707128178765977, 0.10707128178765977, 0.10755103145827966, 0.10849419701736907, 0.11671271572938968, 0.11671271572938968, 0.11962298118627562, 0.12295771366634264, 0.1732669349282335, 0.1732669349282335, 0.1732669349282335, 0.1732669349282335, 0.1778123608672172, 0.1778123608672172, 0.1778123608672172, 0.1778123608672172, 0.1778123608672172, 0.1778123608672172, 0.18131503682919312, 0.18554678339063793, 0.18554678339063793, 0.1906683511010468, 0.1906683511010468, 0.1906683511010468, 0.1906683511010468, 0.1906683511010468, 0.1906683511010468, 0.20860126700475812, 0.20860126700475812, 0.21418406666746653, 0.2192923242977787, 0.22557604538948206, 0.22853532999321416, 0.21757449605173282, 0.21757449605173282, 0.21757449605173282, 0.21757449605173282, 0.21757449605173282, 0.21757449605173282, 0.2195838123258262, 0.22313231807651723, 0.22313231807651723, 0.22313231807651723, 0.20593160201660096, 0.20593160201660096, 0.20593160201660096, 0.20593160201660096, 0.16264188743270627, 0.16264188743270627, 0.16264188743270627, 0.16264188743270627]",0.12485762756940369
3,0.7887323943661971,"[0.027828633972092218, 0.053478415060215174, 0.053478415060215174, 0.05278936633222989, 0.05278936633222989, 0.05278936633222989, 0.05278936633222989, 0.052187030594210114, 0.05125521097000737, 0.051080527073121135, 0.051141735341670054, 0.05117702833495407, 0.07643580290339089, 0.07600188541108817, 0.07524507441726451, 0.074484503235032, 0.0748098086879083, 0.07580341967456168, 0.0764984814622494, 0.07734753145974385, 0.07734753145974385, 0.07776653569901464, 0.10772321356087271, 0.10772321356087271, 0.10822156128039248, 0.11039573201231175, 0.11167346394667128, 0.11391658321337744, 0.11391658321337744, 0.11613457863789423, 0.1188616707940008, 0.1188616707940008, 0.1188616707940008, 0.12049632808266557, 0.12677490679015377, 0.17675840433840978, 0.1784477151342572, 0.1784477151342572, 0.1784477151342572, 0.1811612524088162, 0.1811612524088162, 0.1811612524088162, 0.1811612524088162, 0.21851682129741398, 0.21764723456119295, 0.21689717035417125, 0.21689717035417125, 0.21689717035417125, 0.21689717035417125, 0.22746192480350425, 0.24765845496108715, 0.2512630743615812, 0.2555367450652391, 0.27766970731320856, 0.27766970731320856, 0.27766970731320856, 0.27766970731320856, 0.29389470862400585, 0.31248905924845327, 0.31248905924845327, 0.33454921978338586, 0.33454921978338586, 0.33454921978338586, 0.245870502835403, 0.245870502835403, 0.27102785880499997, 0.27102785880499997, 0.27102785880499997, 0.27102785880499997, 0.27102785880499997, 0.27102785880499997, 0.23522446602892128, 0.23522446602892128, 0.23522446602892128, 0.38383459250145463, 0.38383459250145463, 0.38383459250145463, 0.38383459250145463, 0.38383459250145463, 0.49178102097687254, 0.49178102097687254, 0.49178102097687254, 0.4734618226452068, 0.4734618226452068, 0.4734618226452068, 0.5558688996778592, 0.5558688996778592, 0.5558688996778592, 0.5558688996778592, 0.5558688996778592, 0.5558688996778592, 0.5558688996778592, 0.5558688996778592, 0.5558688996778592, 0.5558688996778592, 0.5558688996778592, 0.5558688996778592, 0.36291788414655496, 0.36291788414655496, 0.36291788414655496]",0.250349841644196
4,0.8865248226950354,"[0.027349239146599577, 0.05420793363920831, 0.05420793363920831, 0.05420793363920831, 0.05420793363920831, 0.05391478451844694, 0.05329050720770409, 0.053126526089304744, 0.0531309081041174, 0.05313661503236428, 0.05297122500565067, 0.05244544962484946, 0.05218448961863312, 0.0516864714978769, 0.05144899101947444, 0.08089724874347884, 0.08027257940413397, 0.07943827837945279, 0.10811049655572083, 0.10611940871778965, 0.10611940871778965, 0.10618593222776812, 0.10522871406040336, 0.10429893052469012, 0.10429893052469012, 0.10432645193856666, 0.10451450190441171, 0.10451450190441171, 0.10345598446137418, 0.1024185222998683, 0.10272401207882877, 0.10286906478846444, 0.1021841662421601, 0.1021841662421601, 0.10245205406275819, 0.10245205406275819, 0.10020436401368675, 0.15630335704978057, 0.156538070675724, 0.15444145431847495, 0.1524143992103803, 0.15048771977816852, 0.15048771977816852, 0.15048771977816852, 0.146160591513164, 0.146160591513164, 0.146160591513164, 0.146160591513164, 0.14410286655635174, 0.14130860068543058, 0.14130860068543058, 0.1384532153581151, 0.13807992807992922, 0.13807992807992922, 0.13807992807992922, 0.13891749759186287, 0.1332845380817523, 0.13093452530626135, 0.13093452530626135, 0.13068469930069918, 0.13006233895135857, 0.132064133195011, 0.132064133195011, 0.132064133195011, 0.132064133195011, 0.21234985425760564, 0.21234985425760564, 0.2068992597507228, 0.2068992597507228, 0.24126735256147297, 0.24126735256147297, 0.24126735256147297, 0.2086890728832598, 0.2086890728832598, 0.2086890728832598, 0.19673042042306443, 0.19673042042306443, 0.19673042042306443, 0.19673042042306443, 0.19673042042306443, 0.19673042042306443, 0.19673042042306443, 0.19673042042306443, 0.19673042042306443, 0.19673042042306443, 0.19673042042306443, 0.2195451385541877, 0.2195451385541877, 0.2195451385541877, 0.2195451385541877, 0.2195451385541877, 0.2195451385541877, 0.19980099967695872, 0.19980099967695872, 0.19980099967695872, 0.19980099967695872, 0.19980099967695872, 0.19980099967695872, 0.19980099967695872, 0.18679131204872532]",0.142728787194693
5,0.8116883116883117,"[0.027764491674415206, 0.05548484808871813, 0.05548484808871813, 0.0554591529307998, 0.05534973134876875, 0.0552757104664185, 0.0552757104664185, 0.0552757104664185, 0.05510656993965421, 0.05510656993965421, 0.05510656993965421, 0.05510656993965421, 0.05510656993965421, 0.05510656993965421, 0.055015516148779656, 0.05465460973642274, 0.054305774475641125, 0.08023742714875413, 0.08023742714875413, 0.08024610325017896, 0.08024610325017896, 0.08025533871185185, 0.07937793262801753, 0.0777069402365313, 0.07704163994335907, 0.07580724552698875, 0.07580724552698875, 0.07514104827933366, 0.07512509820117719, 0.07517059744721716, 0.07550855567767722, 0.07594401211244965, 0.08033856817441962, 0.12241795956843135, 0.12241795956843135, 0.12241795956843135, 0.12388130629515816, 0.12714114620743333, 0.1290663066988326, 0.1356290048532878, 0.1356290048532878, 0.1356290048532878, 0.1356290048532878, 0.13840016524475665, 0.13840016524475665, 0.14150383994097854, 0.1499594228397351, 0.15951050427054383, 0.15951050427054383, 0.17046555744639505, 0.17712770483004056, 0.15717210441196822, 0.15717210441196822, 0.15717210441196822, 0.15717210441196822, 0.14906599658101347, 0.1436053347798417, 0.14670233868962337, 0.22038417444528113, 0.16632305677879405, 0.16634417326273365, 0.16734981192089438, 0.16929305360935654, 0.16929305360935654, 0.16929305360935654, 0.16929305360935654, 0.17182248112726126, 0.17495207525285159, 0.18377849144999683, 0.18377849144999683, 0.19512553105247255, 0.19665780717219244, 0.19665780717219244, 0.20100080233591314, 0.10345711298218406, 0.10345711298218406, 0.10345711298218406, 0.0980213239176473, 0.0980213239176473, 0.0980213239176473, 0.0980213239176473, 0.09483021153869174, 0.09483021153869174, 0.08433607176238123, 0.08433607176238123, 0.07965955842785516, 0.07965955842785516, 0.07563333596834872, 0.07209878482608, 0.06298248013387359, 0.06262151495053611, 0.032916607084416155, 0.032916607084416155, 0.032916607084416155, 0.032916607084416155, 0.032916607084416155, 0.024513987169070828, 0.024513987169070828, 0.18246924501729314, 0.18246924501729314]",0.1070723055631696
6,0.69375,"[0.027546940036365264, 0.027509585890406047, 0.027509585890406047, 0.027509585890406047, 0.027427557255818788, 0.027427557255818788, 0.027427557255818788, 0.027427557255818788, 0.027427557255818788, 0.027427557255818788, 0.05484446255750264, 0.08205229885743462, 0.08193964106874467, 0.08182770778152232, 0.08182980561385186, 0.08182980561385186, 0.08183164393266305, 0.0817210222199928, 0.08131133503020355, 0.08110686678777046, 0.0807025563141603, 0.0807025563141603, 0.0801152664557909, 0.07991544803512496, 0.07966089694860179, 0.07966089694860179, 0.07916474530771771, 0.11036144962345049, 0.10994719240911642, 0.10994719240911642, 0.10994719240911642, 0.10953497346640298, 0.10929834852840672, 0.10936577862284173, 0.10936577862284173, 0.10932481455061388, 0.1093675011448352, 0.10925631701905796, 0.10925631701905796, 0.1088376929309637, 0.15015314613687525, 0.15015314613687525, 0.15015314613687525, 0.15015314613687525, 0.14900796448114056, 0.1486953070767273, 0.1486953070767273, 0.148790903427984, 0.148790903427984, 0.1482975988256228, 0.1445268602762364, 0.14330107461977445, 0.14330107461977445, 0.21368246036876337, 0.21368246036876337, 0.21224371194631672, 0.21224371194631672, 0.2123068939566722, 0.21085262699653617, 0.20942446020491878, 0.20942446020491878, 0.20942446020491878, 0.20942446020491878, 0.20942446020491878, 0.20784187940938456, 0.20784187940938456, 0.2040439526802122, 0.2040439526802122, 0.20017805976750258, 0.20017805976750258, 0.20017805976750258, 0.19912248775859692, 0.19912248775859692, 0.19912248775859692, 0.19025773337156898, 0.19025773337156898, 0.27000511964352786, 0.26249854525821464, 0.255286516233704, 0.24789792429678276, 0.23135596679112266, 0.23135596679112266, 0.23135596679112266, 0.23135596679112266, 0.23135596679112266, 0.23135596679112266, 0.21437422525184718, 0.21759784286157394, 0.20281103811568363, 0.20281103811568363, 0.20281103811568363, 0.2019326123240065, 0.2019326123240065, 0.2019326123240065, 0.2019326123240065, 0.1935730403603661, 0.1935730403603661, 0.1935730403603661, 0.19626089500373897, 0.19626089500373897]",0.14985770455114208
7,0.8531468531468531,"[0.027692536770628884, 0.02768758358331416, 0.027694488097687042, 0.027694488097687042, 0.02773129187095306, 0.02773129187095306, 0.02773129187095306, 0.02773129187095306, 0.02773129187095306, 0.05150743522822913, 0.04953888988744756, 0.04901432765902195, 0.04901432765902195, 0.04901432765902195, 0.04901432765902195, 0.047251691128853066, 0.04660255728157302, 0.04546044829346856, 0.04511158421434276, 0.06762739681893723, 0.06646080237148805, 0.08696622526099021, 0.08266858859834246, 0.07212778406428112, 0.07212778406428112, 0.07212778406428112, 0.06939790479608429, 0.0668354872020055, 0.06693391600245026, 0.06704279052218591, 0.0671634420788409, 0.06729854289988577, 0.0668883785284135, 0.061143693394073224, 0.061143693394073224, 0.061143693394073224, 0.061143693394073224, 0.05821137200112083, 0.0583192148053377, 0.0583192148053377, 0.058207326288900414, 0.12536057392852, 0.11751806532106568, 0.11751806532106568, 0.11346642465419592, 0.1121986548357087, 0.11332324419829658, 0.11332324419829658, 0.11298776254293007, 0.11298776254293007, 0.10469757026542446, 0.10469757026542446, 0.10469757026542446, 0.10539784000516207, 0.10519261043949044, 0.10557842732916578, 0.10572728001366698, 0.10572728001366698, 0.10572728001366698, 0.10572728001366698, 0.10572728001366698, 0.10686669522786894, 0.10789890675047885, 0.10789890675047885, 0.20327602318767948, 0.20224297259700455, 0.2008651955342742, 0.2008651955342742, 0.1748828826968979, 0.1748828826968979, 0.1748828826968979, 0.1717044144608185, 0.16850511086203404, 0.16850511086203404, 0.16850511086203404, 0.16528843675290336, 0.16528843675290336, 0.16528843675290336, 0.15393786281097716, 0.15393786281097716, 0.15393786281097716, 0.1474476186865735, 0.1474476186865735, 0.1474476186865735, 0.1474476186865735, 0.1474476186865735, 0.1474476186865735, 0.1474476186865735, 0.1474476186865735, 0.12919943400890455, 0.12919943400890455, 0.12919943400890455, 0.08163675188228321, 0.08163675188228321, 0.08163675188228321, 0.08163675188228321, 0.08163675188228321, 0.08163675188228321, 0.2614646518982131, 0.2614646518982131]",0.10226863640289499
8,0.5642857142857143,"[0.026827922448452373, 0.026827922448452373, 0.02700006522937927, 0.02700006522937927, 0.02700006522937927, 0.027036699257837638, 0.027036699257837638, 0.05138883956992928, 0.0773911331714095, 0.07723181103315904, 0.07708925164787489, 0.07663483736540391, 0.07671643327383945, 0.07655434464759042, 0.07653140110850722, 0.07654817556935335, 0.0769248109295084, 0.0769248109295084, 0.1091165206484925, 0.10908816719797193, 0.10918396441488516, 0.10933615024376793, 0.10978855120013567, 0.11001981410573619, 0.11022092772351508, 0.11039706107555296, 0.1106933548623026, 0.11102915975342201, 0.11130299736581856, 0.11130299736581856, 0.11130299736581856, 0.11130299736581856, 0.11130299736581856, 0.1118261709249419, 0.11268493267265825, 0.11343539557016186, 0.11343539557016186, 0.11343539557016186, 0.11400755775407038, 0.11400755775407038, 0.11502539936278983, 0.11502539936278983, 0.11562634845774693, 0.11562634845774693, 0.11562634845774693, 0.11602951420163327, 0.11602951420163327, 0.1193751642175436, 0.15817235583775244, 0.15817235583775244, 0.1588268552048125, 0.1597351607332618, 0.1597351607332618, 0.1640350243098593, 0.1640350243098593, 0.16598466148419708, 0.16598466148419708, 0.17170620943163456, 0.17170620943163456, 0.17471545503076902, 0.18088787372881324, 0.18088787372881324, 0.18088787372881324, 0.18088787372881324, 0.18088787372881324, 0.18472254869050492, 0.18895639185882784, 0.18895639185882784, 0.18895639185882784, 0.19380613527732263, 0.19380613527732263, 0.19380613527732263, 0.19380613527732263, 0.19380613527732263, 0.19819526087054307, 0.19819526087054307, 0.21207822149251324, 0.21207822149251324, 0.22019452096464742, 0.22019452096464742, 0.2289737075740422, 0.2384258537550057, 0.24151197224336773, 0.26453270674916673, 0.2690678350519062, 0.2690678350519062, 0.2690678350519062, 0.2690678350519062, 0.2690678350519062, 0.2690678350519062, 0.2745643056528177, 0.2745643056528177, 0.2781210622124031, 0.2781210622124031, 0.2781210622124031, 0.2781210622124031, 0.28518882432414777, 0.34659875751659425, 0.34659875751659425, 0.34659875751659425]",0.15785679933793992
