split,c_index,brier_score,ibs
0,0.8053691275167785,"[0.02782238939842172, 0.02782238939842172, 0.02782238939842172, 0.02782238939842172, 0.05304276721213094, 0.05064147638854867, 0.048462476419874695, 0.046492042441874756, 0.04115864794308985, 0.04115864794308985, 0.04115864794308985, 0.03844709218971213, 0.03844709218971213, 0.03844709218971213, 0.03844709218971213, 0.03844709218971213, 0.037380353209348724, 0.034827775600597514, 0.034673290582274516, 0.03471165340440931, 0.03485784121913342, 0.03485784121913342, 0.03572879148009122, 0.03710206287146207, 0.037959261103644046, 0.04053869331959377, 0.03616575506402602, 0.035278623647966786, 0.0350795553322651, 0.035332556309087486, 0.06895201854716952, 0.0703004943760012, 0.07077284816275742, 0.07077284816275742, 0.07077284816275742, 0.07470426192026773, 0.07556022284056263, 0.07650624033938064, 0.07650624033938064, 0.07624463093739679, 0.07624463093739679, 0.09427055069693571, 0.09376358284847403, 0.09376358284847403, 0.09376358284847403, 0.09363965791969206, 0.09363965791969206, 0.09648763639533743, 0.09648763639533743, 0.09648763639533743, 0.09723679343656803, 0.10235469158314321, 0.1055422393240081, 0.11295022453841273, 0.1219708594352083, 0.1219708594352083, 0.1219708594352083, 0.09292850220642651, 0.09992914309843555, 0.09992914309843555, 0.09992914309843555, 0.09992914309843555, 0.09992914309843555, 0.10444884058699484, 0.10997367760168053, 0.11536867843726108, 0.12196366555574817, 0.12196366555574817, 0.12196366555574817, 0.10242930240488611, 0.10242930240488611, 0.11641413360376057, 0.11641413360376057, 0.12758262164600812, 0.14214395692164747, 0.14974894420206444, 0.12563348985036016, 0.12120384904765334, 0.12120384904765334, 0.12120384904765334, 0.12120384904765334, 0.11834492694380712, 0.11834492694380712, 0.13541806308030105, 0.13541806308030105, 0.13541806308030105, 0.13720787021773662, 0.13720787021773662, 0.13720787021773662, 0.14238093152209447, 0.14238093152209447, 0.14238093152209447, 0.020450133404986175, 0.020450133404986175, 0.02153664627038248, 0.02153664627038248, 0.02153664627038248, 0.02153664627038248, 0.02153664627038248, 0.02153664627038248]",0.08052366150433807
1,0.7094594594594594,"[0.020808263635390074, 0.0430214169488269, 0.0430214169488269, 0.04271128629081971, 0.0426813932752345, 0.0426813932752345, 0.04241834748459923, 0.042134068914811106, 0.07191847225899918, 0.07146148978586345, 0.07176781132256958, 0.07164517787184303, 0.10059263111193223, 0.10038588021820921, 0.10019581101329679, 0.09984483884769038, 0.09991532942567122, 0.09991532942567122, 0.10080256785773575, 0.10152523433591115, 0.10175960421678922, 0.10357954871531784, 0.10357954871531784, 0.10459314167488255, 0.10459314167488255, 0.10613118813686863, 0.10663507232380603, 0.11017836723190581, 0.11222645765671661, 0.11222645765671661, 0.11401062785962351, 0.11535063639068853, 0.11535063639068853, 0.11817353236222933, 0.11817353236222933, 0.12217668546646943, 0.12217668546646943, 0.13095490584120592, 0.1331299499609345, 0.1356972880948866, 0.13831197064177095, 0.1410007789506229, 0.1410007789506229, 0.1410007789506229, 0.1410007789506229, 0.23104460804460367, 0.23104460804460367, 0.2389278172595833, 0.2389278172595833, 0.2389278172595833, 0.2382995103669673, 0.23764730635946318, 0.23764730635946318, 0.17111463729065773, 0.17111463729065773, 0.17111463729065773, 0.17111463729065773, 0.17416106588884114, 0.17416106588884114, 0.2693853385886813, 0.263270996360564, 0.263270996360564, 0.25692815121260937, 0.2509660047205977, 0.23934097426245232, 0.2339688023071809, 0.2339688023071809, 0.2339688023071809, 0.2339688023071809, 0.2339688023071809, 0.22779430045518811, 0.22779430045518811, 0.22188525651263877, 0.22188525651263877, 0.21586830567188253, 0.21611119836171608, 0.21611119836171608, 0.21611119836171608, 0.20535277355256132, 0.20535277355256132, 0.20535277355256132, 0.20157887179010367, 0.20157887179010367, 0.20157887179010367, 0.20157887179010367, 0.20157887179010367, 0.20157887179010367, 0.20157887179010367, 0.20157887179010367, 0.20157887179010367, 0.20157887179010367, 0.20157887179010367, 0.20157887179010367, 0.20157887179010367, 0.19771042901735333, 0.19771042901735333, 0.19771042901735333, 0.19771042901735333, 0.19771042901735333, 0.19771042901735333]",0.1630660018928026
2,0.55,"[0.027741887908957905, 0.027826904063471422, 0.027826904063471422, 0.028137768404495764, 0.02865293007041024, 0.02865293007041024, 0.02865293007041024, 0.02937435641364012, 0.02937435641364012, 0.02937435641364012, 0.02937435641364012, 0.02937435641364012, 0.02937435641364012, 0.030306884545463337, 0.03144030802952042, 0.032762168099938274, 0.03349668846034811, 0.03349668846034811, 0.03349668846034811, 0.033681666093156926, 0.03452977441692667, 0.03701770025681582, 0.038128421437929175, 0.08299041409273598, 0.08344162474927783, 0.08424140923421719, 0.0851538731743609, 0.08634756210906551, 0.08702020361806874, 0.08981401014707882, 0.09213671639780242, 0.09213671639780242, 0.09213671639780242, 0.09213671639780242, 0.11804528276036, 0.12186067522040796, 0.12282916301335914, 0.12424131862363591, 0.12424131862363591, 0.12424131862363591, 0.12598192640385358, 0.12833332442151332, 0.1303865168302265, 0.13587068906855557, 0.13587068906855557, 0.13587068906855557, 0.13848182645283807, 0.14071384038898457, 0.14071384038898457, 0.14071384038898457, 0.14071384038898457, 0.14560122129704214, 0.14912369891431476, 0.16708744280901852, 0.16708744280901852, 0.17195547593369445, 0.17690111800612546, 0.20574102651622708, 0.20574102651622708, 0.20574102651622708, 0.20574102651622708, 0.2115243109094146, 0.2115243109094146, 0.2115243109094146, 0.2115243109094146, 0.2115243109094146, 0.2115243109094146, 0.21480510232204475, 0.21837429225433294, 0.21837429225433294, 0.22221264029685978, 0.22221264029685978, 0.22221264029685978, 0.22221264029685978, 0.22221264029685978, 0.22221264029685978, 0.2852771304074686, 0.2852771304074686, 0.2536697378329256, 0.2551106513174989, 0.2568430562833606, 0.2560815003030716, 0.13336283343952604, 0.13336283343952604, 0.13336283343952604, 0.13336283343952604, 0.13336283343952604, 0.13336283343952604, 0.12926577370735978, 0.12570495112940078, 0.12570495112940078, 0.12570495112940078, 0.11694068284842321, 0.11694068284842321, 0.11694068284842321, 0.11694068284842321, 0.16155143093223417, 0.16155143093223417, 0.16155143093223417, 0.16155143093223417]",0.13034213137812817
3,0.8098591549295775,"[0.016142531317815942, 0.04203003511443537, 0.04203003511443537, 0.03965372482017296, 0.03965372482017296, 0.03965372482017296, 0.03965372482017296, 0.03801494501190304, 0.03657300308785505, 0.0365869623002454, 0.036764052003081346, 0.036956627586755414, 0.04355945501460212, 0.04263731139694244, 0.0412321122716051, 0.04042908316024643, 0.03994196514255188, 0.035533200993387325, 0.03592025397113915, 0.03682614521351067, 0.03682614521351067, 0.03787287676896064, 0.06173111878816659, 0.06173111878816659, 0.06226752916965376, 0.06349076777023693, 0.06413865901001811, 0.06474294947865998, 0.06474294947865998, 0.06652752728847418, 0.06322192320592525, 0.06322192320592525, 0.06322192320592525, 0.06414068287966641, 0.06978223761720675, 0.1590107635123631, 0.16579464857654566, 0.16579464857654566, 0.16579464857654566, 0.17481814100897883, 0.17481814100897883, 0.17481814100897883, 0.17481814100897883, 0.22296652088816135, 0.22542291303729278, 0.2284554226431961, 0.2284554226431961, 0.2284554226431961, 0.2284554226431961, 0.23295924281578215, 0.25302731785140037, 0.25956787125609804, 0.26652250253007526, 0.29477220996497067, 0.29477220996497067, 0.29477220996497067, 0.29477220996497067, 0.30720344420305684, 0.3218335027175096, 0.3218335027175096, 0.3442686830000586, 0.3442686830000586, 0.3442686830000586, 0.263248306228261, 0.263248306228261, 0.29797102571570805, 0.29797102571570805, 0.29797102571570805, 0.29797102571570805, 0.29797102571570805, 0.29797102571570805, 0.3153616348407823, 0.3153616348407823, 0.3153616348407823, 0.41620630572105055, 0.41620630572105055, 0.41620630572105055, 0.41620630572105055, 0.41620630572105055, 0.4549768720936372, 0.4549768720936372, 0.4549768720936372, 0.5522477728439514, 0.5522477728439514, 0.5522477728439514, 0.5920703185726099, 0.5920703185726099, 0.5920703185726099, 0.5920703185726099, 0.5920703185726099, 0.5920703185726099, 0.5920703185726099, 0.5920703185726099, 0.5920703185726099, 0.5920703185726099, 0.5920703185726099, 0.5920703185726099, 0.4084556300062552, 0.4084556300062552, 0.4084556300062552]",0.25258280903131736
4,0.6595744680851063,"[0.025944804700923543, 0.053232913142987295, 0.053232913142987295, 0.053232913142987295, 0.053232913142987295, 0.0529478739030875, 0.05274910587828864, 0.052799476134514106, 0.052895907568612205, 0.05299754642779884, 0.05324669114654888, 0.054273119115134036, 0.054707672834925954, 0.055819070036191576, 0.056530426921801914, 0.07192390824756693, 0.07172356518120664, 0.07163598700334417, 0.10328506364368588, 0.10336772499836708, 0.10336772499836708, 0.10466143479180376, 0.10595005811099122, 0.10771310537854986, 0.10771310537854986, 0.10486925237003823, 0.10673195220029448, 0.10673195220029448, 0.10752499461532486, 0.10852385308268106, 0.11127948651300049, 0.11356571931048115, 0.11767786321408252, 0.11767786321408252, 0.1206790516645295, 0.1206790516645295, 0.12415724784998185, 0.15685097875269063, 0.16087522085574127, 0.16242055275646, 0.1641789657726691, 0.17360305845092178, 0.17360305845092178, 0.17360305845092178, 0.1917770827983936, 0.1917770827983936, 0.1917770827983936, 0.1917770827983936, 0.1961715372695718, 0.2007696486032288, 0.2007696486032288, 0.2056144692895223, 0.21144668040731746, 0.21144668040731746, 0.21144668040731746, 0.1985208528697909, 0.2064801605014824, 0.21055984147659196, 0.21055984147659196, 0.24733527184059698, 0.25373034513381193, 0.26784368789847407, 0.26784368789847407, 0.26784368789847407, 0.26784368789847407, 0.3073873130904161, 0.3073873130904161, 0.30803624797445256, 0.30803624797445256, 0.1517593261891086, 0.1517593261891086, 0.1517593261891086, 0.15358033978457888, 0.15358033978457888, 0.15358033978457888, 0.15741123642100238, 0.15741123642100238, 0.15741123642100238, 0.15741123642100238, 0.15741123642100238, 0.15741123642100238, 0.15741123642100238, 0.15741123642100238, 0.15741123642100238, 0.15741123642100238, 0.15741123642100238, 0.12305086123694625, 0.12305086123694625, 0.12305086123694625, 0.12305086123694625, 0.12305086123694625, 0.12305086123694625, 0.11695716041853725, 0.11695716041853725, 0.11695716041853725, 0.11695716041853725, 0.11695716041853725, 0.11695716041853725, 0.11695716041853725, 0.11409742783751183]",0.14477426342049993
5,0.6558441558441559,"[0.026598950186994368, 0.053607990430413345, 0.053607990430413345, 0.052985621589049875, 0.05168689245876439, 0.05104514270323415, 0.05104514270323415, 0.05104514270323415, 0.04982406307939483, 0.04982406307939483, 0.04982406307939483, 0.04982406307939483, 0.04982406307939483, 0.04982406307939483, 0.049245152933818384, 0.04758976348835109, 0.04657342002404796, 0.07353678913638688, 0.07353678913638688, 0.07356156826107337, 0.07356156826107337, 0.0736029810139216, 0.0727986031820683, 0.07166762499586306, 0.07128724882189659, 0.07038066537950084, 0.07038066537950084, 0.06962063584751776, 0.06939113752056666, 0.06912731616676052, 0.06890965606978874, 0.06849359777446004, 0.06814727528840653, 0.09961266545991529, 0.09961266545991529, 0.09961266545991529, 0.0997188552252788, 0.09929082089578826, 0.09679094015443789, 0.0962786302687016, 0.0962786302687016, 0.0962786302687016, 0.0962786302687016, 0.09616372015653143, 0.09616372015653143, 0.09652484419057289, 0.09593172980047535, 0.09539214153592032, 0.09539214153592032, 0.09568429761885158, 0.09572940718694976, 0.14731413291720907, 0.14731413291720907, 0.14731413291720907, 0.14731413291720907, 0.14788725701087307, 0.14864410828594074, 0.14708670721296008, 0.17083705833521942, 0.17158642917225086, 0.1673803203404881, 0.16352584618607097, 0.15985024679195753, 0.15985024679195753, 0.15985024679195753, 0.15985024679195753, 0.1561907793254499, 0.152944604173583, 0.1547728636251441, 0.1547728636251441, 0.15391374001556934, 0.15601558967822335, 0.15601558967822335, 0.15352104959661927, 0.27287492741410274, 0.27287492741410274, 0.27287492741410274, 0.2704242370846484, 0.2704242370846484, 0.2704242370846484, 0.2704242370846484, 0.2714953498609922, 0.2714953498609922, 0.2673688103454768, 0.2673688103454768, 0.2662143696103463, 0.2662143696103463, 0.2655956473100476, 0.26587660517571954, 0.2692790984188474, 0.272413093844132, 0.29943150980395017, 0.29943150980395017, 0.29943150980395017, 0.29943150980395017, 0.29943150980395017, 0.30693421766388457, 0.30693421766388457, 0.27189419028970285, 0.27189419028970285]",0.14541680071285382
6,0.84375,"[0.02800665980630976, 0.028234911971231094, 0.028234911971231094, 0.028234911971231094, 0.028859200545361, 0.028859200545361, 0.028859200545361, 0.028859200545361, 0.028859200545361, 0.028859200545361, 0.04640261092574368, 0.07030102879261928, 0.0693175518376421, 0.06843758375392402, 0.06855288402285581, 0.06855288402285581, 0.06861965130529929, 0.06803149224457535, 0.06693301546552816, 0.06657485399732085, 0.06752765707015562, 0.06752765707015562, 0.06924526561977849, 0.07030638096310264, 0.07158790457684282, 0.07158790457684282, 0.07558431289130631, 0.10382022565049846, 0.10629718495370799, 0.10629718495370799, 0.10629718495370799, 0.10915881870906508, 0.11920767612210637, 0.12189143380160797, 0.12189143380160797, 0.12480775154068012, 0.12803986355262062, 0.12736281051615767, 0.12736281051615767, 0.13261169716981727, 0.13621729535197732, 0.13621729535197732, 0.13621729535197732, 0.13621729535197732, 0.13887646127801287, 0.14903920287098477, 0.14903920287098477, 0.1552860834609811, 0.1552860834609811, 0.16787573696362132, 0.18814431032969253, 0.19624674114865287, 0.19624674114865287, 0.14732611740697626, 0.14732611740697626, 0.15130127681848538, 0.15130127681848538, 0.16379973043308307, 0.16993448361093913, 0.17644808177977225, 0.17644808177977225, 0.17644808177977225, 0.17644808177977225, 0.17644808177977225, 0.1836811626977265, 0.1836811626977265, 0.19166635588912967, 0.19166635588912967, 0.20013023448322434, 0.20013023448322434, 0.20013023448322434, 0.2189946230876934, 0.2189946230876934, 0.2189946230876934, 0.23969419937059488, 0.23969419937059488, 0.13214558391915346, 0.1421137613951225, 0.15491727264515187, 0.1681398902573838, 0.1920849109708236, 0.1920849109708236, 0.1920849109708236, 0.1920849109708236, 0.1920849109708236, 0.1920849109708236, 0.23762183916401558, 0.18396993439192663, 0.20675350671058007, 0.20675350671058007, 0.20675350671058007, 0.2926489739447622, 0.2926489739447622, 0.2926489739447622, 0.2926489739447622, 0.3200299130337894, 0.3200299130337894, 0.3200299130337894, 0.33331869067986375, 0.33331869067986375]",0.14884163358613586
7,0.8741258741258742,"[0.02527996914797765, 0.02446086304812874, 0.024103037477359104, 0.024103037477359104, 0.02353878229347285, 0.02353878229347285, 0.02353878229347285, 0.02353878229347285, 0.02353878229347285, 0.048706513975865166, 0.04719374002180338, 0.04693653092907635, 0.04693653092907635, 0.04693653092907635, 0.04693653092907635, 0.0465984439182185, 0.046646606593350924, 0.047542624261916744, 0.048588535132020765, 0.04853408748373797, 0.04762253182244898, 0.07511297471102113, 0.0715756952258816, 0.06934187262631317, 0.06934187262631317, 0.06934187262631317, 0.06894641808825627, 0.06962407570109833, 0.07032489879865819, 0.07108882884870484, 0.07224864621776689, 0.07354049233667577, 0.07624058868756697, 0.07866625571159834, 0.07866625571159834, 0.07866625571159834, 0.07866625571159834, 0.08078370550903648, 0.08348608824392584, 0.08348608824392584, 0.07766979568163412, 0.10325580841575058, 0.10646723702873538, 0.10646723702873538, 0.10962677985592217, 0.11202471621440004, 0.11791088043649696, 0.11791088043649696, 0.13516735184562984, 0.13516735184562984, 0.14657052396431716, 0.14657052396431716, 0.14657052396431716, 0.17007540934084997, 0.17941218712072057, 0.1915323932407686, 0.20187258193700816, 0.20187258193700816, 0.20187258193700816, 0.20187258193700816, 0.20187258193700816, 0.22988142346692536, 0.24461516404137046, 0.24461516404137046, 0.16141620545339405, 0.17096825957711467, 0.1915735382205505, 0.1915735382205505, 0.23624496694043515, 0.23624496694043515, 0.23624496694043515, 0.2518621300042579, 0.2694081500244859, 0.2694081500244859, 0.2694081500244859, 0.2886495264186115, 0.2886495264186115, 0.2886495264186115, 0.352539232860898, 0.352539232860898, 0.352539232860898, 0.3888551292878111, 0.3888551292878111, 0.3888551292878111, 0.3888551292878111, 0.3888551292878111, 0.3888551292878111, 0.3888551292878111, 0.3888551292878111, 0.3147800785122672, 0.3147800785122672, 0.3147800785122672, 0.38158743601279066, 0.38158743601279066, 0.38158743601279066, 0.38158743601279066, 0.38158743601279066, 0.38158743601279066, 0.22961698606387132, 0.22961698606387132]",0.17297306116278863
8,0.8785714285714286,"[0.013943627987485385, 0.013943627987485385, 0.013539854305485556, 0.013539854305485556, 0.013539854305485556, 0.013631135937435538, 0.013631135937435538, 0.03751296673241303, 0.06429405033181453, 0.06386880692759815, 0.06329464138143147, 0.06247463458631085, 0.06267005985182315, 0.06186080637664996, 0.06160110140258587, 0.06143413928872275, 0.0621019305062798, 0.0621019305062798, 0.06536239873316635, 0.06405454589999175, 0.06183453271362321, 0.062051823214735936, 0.062313373638626164, 0.06256344741926938, 0.06169644329237245, 0.06145090862254618, 0.06063494268412024, 0.06102978967495835, 0.061186819323755075, 0.061186819323755075, 0.061186819323755075, 0.061186819323755075, 0.061186819323755075, 0.057982810836274906, 0.057077330190662315, 0.056169812121962606, 0.056169812121962606, 0.056169812121962606, 0.056596273695336125, 0.056596273695336125, 0.05582972259267485, 0.05582972259267485, 0.05637110366435835, 0.05637110366435835, 0.05637110366435835, 0.05700689972288439, 0.05700689972288439, 0.056089875520592684, 0.0804229815683182, 0.0804229815683182, 0.07840181249624145, 0.07654155487343199, 0.07654155487343199, 0.07383211801523065, 0.07383211801523065, 0.07255903799854792, 0.07255903799854792, 0.06935904506818638, 0.06935904506818638, 0.0698954887577908, 0.07080396320447373, 0.07080396320447373, 0.07080396320447373, 0.07080396320447373, 0.07080396320447373, 0.06931060682040532, 0.06792149113953834, 0.06792149113953834, 0.06792149113953834, 0.06665604550781375, 0.06665604550781375, 0.06665604550781375, 0.06665604550781375, 0.06665604550781375, 0.06783922208664438, 0.06783922208664438, 0.06558376152812151, 0.06558376152812151, 0.0646848501486158, 0.0646848501486158, 0.0639061921830174, 0.0632469758276998, 0.05942234971457781, 0.1412675598270013, 0.13754018091860726, 0.13754018091860726, 0.13754018091860726, 0.13754018091860726, 0.13754018091860726, 0.13754018091860726, 0.12550210758342017, 0.12550210758342017, 0.115944175786023, 0.115944175786023, 0.115944175786023, 0.115944175786023, 0.10559392579819683, 0.10363726790697184, 0.10363726790697184, 0.10363726790697184]",0.07095664970700975
