mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_alpha_min_ratio,param_l1_ratio,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,split5_test_score,split6_test_score,split7_test_score,split8_test_score,split9_test_score,mean_test_score,std_test_score,rank_test_score
1.9578036785125732,0.12484931645504715,0.011807513236999512,0.0016390297289941374,0.01,0.3,"{'alpha_min_ratio': 0.01, 'l1_ratio': 0.3}",0.5,0.29213483146067415,0.5054945054945055,0.21739130434782608,0.6904761904761905,0.3333333333333333,0.44594594594594594,0.421875,0.41975308641975306,0.6,0.4426404197478228,0.13406284299298185,18
1.82857186794281,0.10934777087779413,0.013614988327026368,0.0012325424825878524,0.01,0.4,"{'alpha_min_ratio': 0.01, 'l1_ratio': 0.4}",0.4583333333333333,0.29213483146067415,0.5164835164835165,0.21739130434782608,0.6428571428571429,0.375,0.4189189189189189,0.4453125,0.37037037037037035,0.5571428571428572,0.42939447749146387,0.11870096761233326,22
1.759294319152832,0.11834005351359501,0.011372709274291992,0.00229098890173858,0.01,0.5,"{'alpha_min_ratio': 0.01, 'l1_ratio': 0.5}",0.4791666666666667,0.24719101123595505,0.5439560439560439,0.21739130434782608,0.6666666666666666,0.4375,0.3918918918918919,0.4375,0.3333333333333333,0.5142857142857142,0.42688826323840984,0.12959647408017239,23
1.7588696718215941,0.15440561537571654,0.012814712524414063,0.0012244875962100928,0.01,0.6,"{'alpha_min_ratio': 0.01, 'l1_ratio': 0.6}",0.4791666666666667,0.30337078651685395,0.5439560439560439,0.21739130434782608,0.6666666666666666,0.5,0.3918918918918919,0.421875,0.35802469135802467,0.5142857142857142,0.43966287656896874,0.12264620896305012,20
1.6451736688613892,0.10369858337533075,0.011251449584960938,0.0023454432535958674,0.01,0.7,"{'alpha_min_ratio': 0.01, 'l1_ratio': 0.7}",0.4791666666666667,0.30337078651685395,0.5604395604395604,0.21739130434782608,0.6190476190476191,0.5625,0.36486486486486486,0.421875,0.38271604938271603,0.5571428571428572,0.44685147084089644,0.12403002311864361,17
1.7689521551132201,0.1351426349341439,0.012366151809692383,0.002863299463869754,0.01,0.8,"{'alpha_min_ratio': 0.01, 'l1_ratio': 0.8}",0.4791666666666667,0.29213483146067415,0.5879120879120879,0.21739130434782608,0.5238095238095238,0.6458333333333334,0.33783783783783783,0.4375,0.41975308641975306,0.6,0.45413386717877025,0.13367040930610236,15
1.626560354232788,0.1660785918115803,0.018570494651794434,0.01519591617528256,0.01,0.9,"{'alpha_min_ratio': 0.01, 'l1_ratio': 0.9}",0.5,0.2808988764044944,0.5494505494505495,0.21739130434782608,0.4523809523809524,0.6041666666666666,0.3108108108108108,0.4296875,0.41975308641975306,0.6428571428571429,0.44073968893381965,0.13262838492975657,19
1.5759862422943116,0.08521574737151605,0.02729613780975342,0.021105974255283724,0.01,1.0,"{'alpha_min_ratio': 0.01, 'l1_ratio': 1.0}",0.5,0.34831460674157305,0.5,0.13043478260869565,0.40476190476190477,0.5833333333333334,0.25675675675675674,0.4296875,0.4444444444444444,0.5285714285714286,0.41263047572181366,0.12933722560034483,24
0.5739665508270264,0.04227592653630644,0.020109272003173827,0.019325830301565834,0.05,0.3,"{'alpha_min_ratio': 0.05, 'l1_ratio': 0.3}",0.5208333333333334,0.3258426966292135,0.5604395604395604,0.30434782608695654,0.5714285714285714,0.3541666666666667,0.36486486486486486,0.46875,0.4691358024691358,0.6,0.4539809321918303,0.10396154556542185,16
0.608081316947937,0.04288229043369612,0.011393141746520997,0.0025183958796817147,0.05,0.4,"{'alpha_min_ratio': 0.05, 'l1_ratio': 0.4}",0.5625,0.29213483146067415,0.5439560439560439,0.30434782608695654,0.5476190476190477,0.4375,0.3783783783783784,0.46875,0.4567901234567901,0.6142857142857143,0.4606261965243605,0.10425624403859865,14
0.6457151174545288,0.05022882375859083,0.014116978645324707,0.00148056880456495,0.05,0.5,"{'alpha_min_ratio': 0.05, 'l1_ratio': 0.5}",0.6041666666666666,0.2808988764044944,0.554945054945055,0.30434782608695654,0.5238095238095238,0.4583333333333333,0.40540540540540543,0.4609375,0.49382716049382713,0.6428571428571429,0.4729528490002406,0.11227757266427818,11
0.6037448883056641,0.041380948713043805,0.012355828285217285,0.002482798596999951,0.05,0.6,"{'alpha_min_ratio': 0.05, 'l1_ratio': 0.6}",0.625,0.2696629213483146,0.5659340659340659,0.30434782608695654,0.5238095238095238,0.4791666666666667,0.3918918918918919,0.4609375,0.5061728395061729,0.6714285714285714,0.4798351806672164,0.12283365451635819,10
0.565636157989502,0.03273504209855697,0.011796951293945312,0.001962570350143751,0.05,0.7,"{'alpha_min_ratio': 0.05, 'l1_ratio': 0.7}",0.6875,0.30337078651685395,0.5659340659340659,0.30434782608695654,0.47619047619047616,0.5,0.36486486486486486,0.4609375,0.5061728395061729,0.7,0.4869318359099391,0.13233706347864044,6
0.5941333055496216,0.04457244060235032,0.01143648624420166,0.0015763865672852402,0.05,0.8,"{'alpha_min_ratio': 0.05, 'l1_ratio': 0.8}",0.6875,0.2696629213483146,0.5494505494505495,0.2608695652173913,0.47619047619047616,0.4791666666666667,0.33783783783783783,0.4453125,0.5061728395061729,0.6857142857142857,0.4697877641931695,0.1426634010945715,12
