mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_alphas,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,split5_test_score,split6_test_score,split7_test_score,split8_test_score,split9_test_score,mean_test_score,std_test_score,rank_test_score
0.003230118751525879,0.0004726861814221291,0.001677536964416504,0.00027589514165058743,[0.004306096370835185],{'alphas': [0.004306096370835185]},0.9824561403508771,0.9868421052631579,0.979381443298969,0.9375,0.9180327868852459,0.8970588235294118,0.92,0.9523809523809523,0.9489795918367347,0.8777777777777778,0.9400409621323126,0.03519356056825993,4
0.0026689767837524414,0.00024053623183568906,0.0016989946365356446,0.0002741646647549716,[0.010674198111557084],{'alphas': [0.010674198111557084]},0.9824561403508771,0.9736842105263158,0.9484536082474226,0.9375,0.8032786885245902,0.9117647058823529,0.84,0.9047619047619048,0.8775510204081632,0.8,0.8979450278701627,0.06289690280911951,13
0.0025885820388793944,0.00048765859039394264,0.0015265703201293944,0.0003110514165255981,[0.006381548405524759],{'alphas': [0.006381548405524759]},0.9824561403508771,0.9868421052631579,0.979381443298969,0.925,0.8688524590163934,0.8970588235294118,0.8933333333333333,0.9523809523809523,0.9183673469387755,0.8666666666666667,0.9270339270778537,0.04378829378457026,10
0.002431225776672363,0.00029021966206365513,0.00205385684967041,0.000881420809776123,[0.013597810859585144],{'alphas': [0.013597810859585144]},1.0,0.9736842105263158,0.9484536082474226,0.925,0.7868852459016393,0.8970588235294118,0.84,0.9047619047619048,0.8673469387755102,0.8222222222222222,0.8965412953964428,0.06467176171393456,14
0.0022545337677001955,0.0004025799449519486,0.0014980316162109375,0.00026436227479968873,[0.014015568332623768],{'alphas': [0.014015568332623768]},1.0,0.9736842105263158,0.9484536082474226,0.925,0.7868852459016393,0.8970588235294118,0.8266666666666667,0.9047619047619048,0.8571428571428571,0.8222222222222222,0.8941875538998442,0.06644880644137927,15
0.002366924285888672,0.0002585123344080597,0.00166168212890625,0.00019921798230567033,[0.016304943520684012],{'alphas': [0.016304943520684012]},1.0,0.9736842105263158,0.9484536082474226,0.9125,0.7704918032786885,0.8823529411764706,0.8266666666666667,0.9047619047619048,0.8571428571428571,0.8333333333333334,0.890938732513366,0.0677330965663213,18
0.002331852912902832,0.0004744192960902552,0.0016891956329345703,0.0002460629667475001,[0.02727272227330518],{'alphas': [0.02727272227330518]},0.45614035087719296,0.7697368421052632,0.8195876288659794,0.2875,0.6147540983606558,0.45588235294117646,0.6266666666666667,0.42857142857142855,0.4387755102040816,0.8555555555555555,0.5753170434148,0.18212004596346357,23
0.0027163028717041016,0.0004174598483232438,0.0015327215194702148,0.00022994351644006934,[0.004715295305288642],{'alphas': [0.004715295305288642]},0.9824561403508771,0.9868421052631579,0.9896907216494846,0.925,0.8852459016393442,0.8970588235294118,0.92,0.9523809523809523,0.9489795918367347,0.8555555555555555,0.9343209792205519,0.043560421140987425,5
0.0034826040267944337,0.003543112410325475,0.0016947746276855468,0.00021789418694786355,[0.039212912066327786],{'alphas': [0.039212912066327786]},0.45614035087719296,0.5,0.5,0.2875,0.6147540983606558,0.45588235294117646,0.6266666666666667,0.40476190476190477,0.4387755102040816,0.8555555555555555,0.5140036439367234,0.14680487005712708,27
0.004287171363830567,0.0032132827977772544,0.0017166376113891602,0.0002655641469197125,[0.053069655296496536],{'alphas': [0.053069655296496536]},0.45614035087719296,0.5,0.5,0.2875,0.5,0.45588235294117646,0.6266666666666667,0.40476190476190477,0.4387755102040816,0.5,0.4669726785451022,0.0818421794419764,30
0.0027804851531982424,0.0010298021047841811,0.0017270803451538085,0.00015593703146033868,[0.030781895427821827],{'alphas': [0.030781895427821827]},0.45614035087719296,0.7697368421052632,0.8195876288659794,0.2875,0.6147540983606558,0.45588235294117646,0.6266666666666667,0.40476190476190477,0.4387755102040816,0.8555555555555555,0.5729360910338476,0.18416709855999971,24
0.002423882484436035,7.923308002740242e-05,0.0018831491470336914,0.00034718127173862814,[0.021408919685151177],{'alphas': [0.021408919685151177]},0.8070175438596491,0.9736842105263158,0.9690721649484536,0.675,0.7868852459016393,0.8529411764705882,0.8,0.8095238095238095,0.7755102040816326,0.8444444444444444,0.8294078799756534,0.08450925420141828,21
0.0026807308197021483,0.00033534930151215626,0.0016837596893310546,0.0002504444765093983,[0.005827750045372205],{'alphas': [0.005827750045372205]},0.9824561403508771,0.9868421052631579,0.9896907216494846,0.925,0.8688524590163934,0.8970588235294118,0.9066666666666666,0.9523809523809523,0.9285714285714286,0.8666666666666667,0.9304185964095039,0.0441039089987763,8
0.002740645408630371,0.0009841655078597115,0.0019278526306152344,0.00044972170494931234,[0.01955102817342809],{'alphas': [0.01955102817342809]},0.9298245614035088,0.9736842105263158,0.9587628865979382,0.825,0.7868852459016393,0.8823529411764706,0.8,0.9047619047619048,0.8163265306122449,0.8222222222222222,0.8699820503202245,0.06524250559841567,19
0.0034873485565185547,0.0007369357609917993,0.0017394304275512695,0.00011642636400306478,[0.003484108934569586],{'alphas': [0.003484108934569586]},0.9824561403508771,0.9868421052631579,0.979381443298969,0.95,0.9344262295081968,0.9117647058823529,0.9333333333333333,0.9523809523809523,0.9489795918367347,0.9,0.9479564501854574,0.0277870797440374,1
0.004036712646484375,0.004346433166425356,0.0017846584320068359,8.077755164669091e-05,[0.04701965067210308],{'alphas': [0.04701965067210308]},0.45614035087719296,0.5,0.5,0.2875,0.6147540983606558,0.45588235294117646,0.6266666666666667,0.40476190476190477,0.4387755102040816,0.5,0.4784480883811678,0.09295865593331569,28
0.0030786752700805663,0.0002778073591756533,0.0017534732818603516,5.8686935438791525e-05,[0.005322010965541358],{'alphas': [0.005322010965541358]},0.9824561403508771,0.9868421052631579,0.9896907216494846,0.925,0.8852459016393442,0.8970588235294118,0.92,0.9523809523809523,0.9489795918367347,0.8444444444444444,0.9332098681094407,0.04564707740811451,6
0.005350136756896972,0.007148746198664566,0.0017966508865356445,0.00010185447355490799,[0.005163379520873271],{'alphas': [0.005163379520873271]},0.9824561403508771,0.9868421052631579,0.9896907216494846,0.925,0.8852459016393442,0.8970588235294118,0.92,0.9523809523809523,0.9489795918367347,0.8444444444444444,0.9332098681094407,0.04564707740811451,6
0.0052193403244018555,0.005645095386146477,0.0026441335678100584,0.002402148427725232,[0.03691013734438345],{'alphas': [0.03691013734438345]},0.45614035087719296,0.7697368421052632,0.5,0.2875,0.6147540983606558,0.45588235294117646,0.6266666666666667,0.40476190476190477,0.4387755102040816,0.8555555555555555,0.5409773281472496,0.16536150366031713,25
0.002456355094909668,6.067198220257798e-05,0.0017793893814086914,7.600633605961276e-05,[0.020770791000256007],{'alphas': [0.020770791000256007]},0.8771929824561403,0.9736842105263158,0.9587628865979382,0.7375,0.7704918032786885,0.8676470588235294,0.8266666666666667,0.8571428571428571,0.8163265306122449,0.8333333333333334,0.8518748329437715,0.07009124406501346,20
0.002812695503234863,0.0005210918708264559,0.0018005609512329102,7.211761621127107e-05,[0.010047356790852753],{'alphas': [0.010047356790852753]},1.0,0.9736842105263158,0.9484536082474226,0.9375,0.7868852459016393,0.9117647058823529,0.84,0.9047619047619048,0.8877551020408163,0.8,0.8990804777360453,0.06773542572639903,12
0.0065394163131713865,0.005563421864002008,0.0023515701293945314,0.0010861711215332246,[0.003701477889557995],{'alphas': [0.003701477889557995]},0.9824561403508771,0.9868421052631579,0.979381443298969,0.95,0.9180327868852459,0.9117647058823529,0.92,0.9523809523809523,0.9489795918367347,0.9,0.9449837725898289,0.029854541028743953,3
0.0024143457412719727,5.121287131579936e-05,0.0017730474472045898,8.210535296077141e-05,[0.024163599085083004],{'alphas': [0.024163599085083004]},0.5087719298245614,0.8947368421052632,0.8195876288659794,0.35,0.6885245901639344,0.45588235294117646,0.6933333333333334,0.6666666666666666,0.47959183673469385,0.7888888888888889,0.6345984069524497,0.16907980037137813,22
0.002416110038757324,6.500546721598768e-05,0.0016755104064941407,8.78601546045596e-05,[0.014889981130628725],{'alphas': [0.014889981130628725]},1.0,0.9736842105263158,0.9484536082474226,0.925,0.7868852459016393,0.8676470588235294,0.8266666666666667,0.9047619047619048,0.8571428571428571,0.8222222222222222,0.8912463774292559,0.06690596929582415,17
0.0030736923217773438,0.0004988962974162701,0.001773238182067871,2.133046964829004e-05,[0.006577604929879666],{'alphas': [0.006577604929879666]},0.9824561403508771,0.9868421052631579,0.979381443298969,0.925,0.8688524590163934,0.8970588235294118,0.8933333333333333,0.9523809523809523,0.9081632653061225,0.8666666666666667,0.9260135189145885,0.044096175187693744,11
0.002537250518798828,0.00020062925556339146,0.0017375707626342773,0.00012437556904480002,[0.03370703172872617],{'alphas': [0.03370703172872617]},0.45614035087719296,0.7697368421052632,0.5,0.2875,0.6147540983606558,0.45588235294117646,0.6266666666666667,0.40476190476190477,0.4387755102040816,0.8555555555555555,0.5409773281472496,0.16536150366031713,25
0.0024919748306274415,0.0002225316677875234,0.0017645120620727538,6.57690906598496e-05,[0.015818947388270072],{'alphas': [0.015818947388270072]},1.0,0.9736842105263158,0.9484536082474226,0.925,0.7704918032786885,0.8823529411764706,0.8266666666666667,0.9047619047619048,0.8571428571428571,0.8333333333333334,0.8921887325133661,0.06823296885801755,16
0.0034856557846069335,0.0003356430379379405,0.0017418861389160156,0.00012369816710232126,[0.0029056374372819936],{'alphas': [0.0029056374372819936]},0.9824561403508771,0.9868421052631579,0.9690721649484536,0.95,0.9344262295081968,0.8970588235294118,0.9466666666666667,0.9523809523809523,0.9489795918367347,0.9,0.9467882674484451,0.028695764067687306,2
0.0026943206787109373,0.0004429616733651045,0.0017548561096191405,0.00013592917114972316,[0.04041762709174436],{'alphas': [0.04041762709174436]},0.45614035087719296,0.5,0.5,0.2875,0.6147540983606558,0.45588235294117646,0.6266666666666667,0.40476190476190477,0.4387755102040816,0.5,0.4784480883811678,0.09295865593331569,28
0.002599287033081055,0.0003795014624859841,0.0014984607696533203,0.00028557912358378985,[0.006006792551375241],{'alphas': [0.006006792551375241]},0.9824561403508771,0.9868421052631579,0.9896907216494846,0.925,0.8688524590163934,0.8970588235294118,0.9066666666666666,0.9523809523809523,0.9285714285714286,0.8666666666666667,0.9304185964095039,0.0441039089987763,8
