mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_alphas,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,split5_test_score,split6_test_score,split7_test_score,split8_test_score,split9_test_score,mean_test_score,std_test_score,rank_test_score
0.004038381576538086,0.0005098807469468017,0.0017229318618774414,0.00028440199200932965,[0.0018914874450385137],{'alphas': [0.0018914874450385137]},0.9711538461538461,0.9285714285714286,0.9662921348314607,0.935064935064935,0.9594594594594594,0.8279569892473119,1.0,0.864406779661017,0.9240506329113924,0.92,0.929695620590085,0.04863746224617012,4
0.003018951416015625,0.0004495810057440917,0.002027273178100586,0.0007076669081142341,[0.007635967460039173],{'alphas': [0.007635967460039173]},0.7980769230769231,0.8714285714285714,0.8426966292134831,0.7532467532467533,0.6756756756756757,0.6344086021505376,0.7407407407407407,0.4915254237288136,0.6708860759493671,0.7,0.7178685395210866,0.10482104622793291,13
0.003201198577880859,0.0006249621950908954,0.0017410516738891602,0.00023972485440758483,[0.003462818472330086],{'alphas': [0.003462818472330086]},0.9423076923076923,0.8571428571428571,0.9325842696629213,0.9090909090909091,0.8513513513513513,0.8172043010752689,0.9259259259259259,0.6949152542372882,0.8481012658227848,0.86,0.8638623826617,0.06925242586046741,10
0.002670598030090332,0.00017421593394395846,0.001806187629699707,0.0002451549180930596,[0.011078481342683374],{'alphas': [0.011078481342683374]},0.75,0.7571428571428571,0.8089887640449438,0.6493506493506493,0.6351351351351351,0.5806451612903226,0.5740740740740741,0.3559322033898305,0.569620253164557,0.66,0.6340889097592369,0.12167924615608754,14
0.002946162223815918,0.00029119876527612394,0.0020519256591796874,0.00027811700879244613,[0.011605991571581499],{'alphas': [0.011605991571581499]},0.7211538461538461,0.7285714285714285,0.8202247191011236,0.6363636363636364,0.6621621621621622,0.5913978494623656,0.5740740740740741,0.3559322033898305,0.5569620253164557,0.66,0.6306841944594923,0.11884719238581622,15
0.002430295944213867,0.0003013700471824731,0.0016790390014648437,0.0002957636086217484,[0.014645100349406328],{'alphas': [0.014645100349406328]},0.6875,0.6214285714285714,0.8258426966292135,0.6103896103896104,0.7027027027027027,0.6021505376344086,0.4444444444444444,0.22033898305084745,0.4936708860759494,0.61,0.5818468432355748,0.15691758963565144,18
0.002686762809753418,0.0003529662610288177,0.0017851591110229492,0.00022392973698994665,[0.0322943609694407],{'alphas': [0.0322943609694407]},0.6057692307692307,0.5785714285714286,0.848314606741573,0.5714285714285714,0.8108108108108109,0.6236559139784946,0.35185185185185186,0.19491525423728814,0.5063291139240507,0.57,0.5661646782313301,0.18217212683481437,24
0.004236912727355957,0.00021026705995702652,0.002057385444641113,9.113660818567394e-05,[0.002174750921640021],{'alphas': [0.002174750921640021]},0.9711538461538461,0.9285714285714286,0.9550561797752809,0.922077922077922,0.9594594594594594,0.8279569892473119,1.0,0.847457627118644,0.9113924050632911,0.9,0.9223125857467185,0.051024905349672404,5
0.006375908851623535,0.007324821132027338,0.0019404172897338867,8.807248467432874e-05,[0.056435312954197264],{'alphas': [0.056435312954197264]},0.6057692307692307,0.5785714285714286,0.848314606741573,0.5714285714285714,0.8175675675675675,0.6236559139784946,0.35185185185185186,0.19491525423728814,0.5126582278481012,0.57,0.5674732652994108,0.18288904888243132,19
0.0041304826736450195,0.0032136715401835116,0.0019748926162719725,0.00015601231019974813,[0.08986097775378792],{'alphas': [0.08986097775378792]},0.5,0.5785714285714286,0.5,0.5714285714285714,0.5,0.6236559139784946,0.35185185185185186,0.19491525423728814,0.5,0.57,0.48904230200676346,0.12053636783545986,30
