split,c_index,brier_score,ibs
0,0.6342281879194631,"[0.027777747977290664, 0.027777747977290664, 0.027777747977290664, 0.027777747977290664, 0.05555544959352569, 0.055555327078124904, 0.055555217811858446, 0.05555510523779845, 0.0555547642266904, 0.0555547642266904, 0.0555547642266904, 0.055553648722603474, 0.055553648722603474, 0.055553648722603474, 0.055553648722603474, 0.055553648722603474, 0.05555205386508918, 0.05554534481108783, 0.055543651391313356, 0.05554194889063879, 0.055541949652113634, 0.055541949652113634, 0.05554025315397218, 0.05553679189109642, 0.05553504095275052, 0.05553152456123293, 0.08926035958583772, 0.08925663288252449, 0.08925474149653505, 0.08919205737151686, 0.12469554249539268, 0.1226811301254162, 0.12268185787076519, 0.12268185787076519, 0.12268185787076519, 0.12106655294019508, 0.12106791610221299, 0.12107069783987129, 0.12107069783987129, 0.1210751011002097, 0.1210751011002097, 0.17536138934352727, 0.17439016039109273, 0.17439016039109273, 0.17439016039109273, 0.17342399642814396, 0.17342399642814396, 0.17344189884120295, 0.17344189884120295, 0.17344189884120295, 0.17225303803401995, 0.16849136589418193, 0.16851252472626005, 0.16677552059774625, 0.16346455154802314, 0.16346455154802314, 0.16346455154802314, 0.16349810212835283, 0.1605378461209169, 0.1605378461209169, 0.1605378461209169, 0.1605378461209169, 0.1605378461209169, 0.1591142724106509, 0.15482843695928802, 0.15536255479425184, 0.15186751141158578, 0.15186751141158578, 0.15186751141158578, 0.15304081451155693, 0.15304081451155693, 0.15234032900504985, 0.15234032900504985, 0.15599516981777045, 0.16191170957365117, 0.15978036880336638, 0.21380376791974076, 0.19674481515032533, 0.19674481515032533, 0.19674481515032533, 0.19674481515032533, 0.18457068407317323, 0.18457068407317323, 0.18511703249729544, 0.18511703249729544, 0.18511703249729544, 0.1883674793504915, 0.1883674793504915, 0.1883674793504915, 0.20833152057082358, 0.20833152057082358, 0.20833152057082358, 0.13391179025527186, 0.13391179025527186, 0.1545455531953564, 0.1545455531953564, 0.1545455531953564, 0.1545455531953564, 0.1545455531953564, 0.1545455531953564]",0.13084875689499884
1,0.6959459459459459,"[0.026103186321523628, 0.05150764621609048, 0.05150764621609048, 0.05115576899412192, 0.05117203089055548, 0.05117203089055548, 0.050819321912837806, 0.05023436534022691, 0.07813829015140125, 0.0765207391099052, 0.07646862487520625, 0.07413598175003834, 0.10633570431570515, 0.10541220486687962, 0.10549725165125615, 0.10247627757059669, 0.10061647337271512, 0.10061647337271512, 0.10065272095371663, 0.10040154649959612, 0.09946741122774824, 0.09875740847137807, 0.09875740847137807, 0.09870058024913185, 0.09870058024913185, 0.09845319949383799, 0.09880624375468225, 0.09669326585597184, 0.09517081452364934, 0.09517081452364934, 0.0925008559917252, 0.09096969212557686, 0.09096969212557686, 0.0906875828493639, 0.0906875828493639, 0.0909535312795948, 0.0909535312795948, 0.08528490495409907, 0.08529546038096997, 0.08419951533573115, 0.08321354188596351, 0.08249263072865744, 0.08249263072865744, 0.08249263072865744, 0.08249263072865744, 0.2261302396690863, 0.2261302396690863, 0.2271657870508733, 0.2271657870508733, 0.2271657870508733, 0.22413841546337226, 0.22136221691944075, 0.22136221691944075, 0.27394705489521265, 0.27394705489521265, 0.27394705489521265, 0.27394705489521265, 0.2742753446072211, 0.2742753446072211, 0.35223278755648935, 0.33818393193601404, 0.33818393193601404, 0.32475752885457876, 0.3116779171235214, 0.28566935433674717, 0.27403245030546663, 0.27403245030546663, 0.27403245030546663, 0.27403245030546663, 0.27403245030546663, 0.2627535717296767, 0.2627535717296767, 0.2521991389924714, 0.2521991389924714, 0.24158940367304516, 0.22503127064791162, 0.22503127064791162, 0.22503127064791162, 0.19741572679771693, 0.19741572679771693, 0.19741572679771693, 0.18456644438735068, 0.18456644438735068, 0.18456644438735068, 0.18456644438735068, 0.18456644438735068, 0.18456644438735068, 0.18456644438735068, 0.18456644438735068, 0.18456644438735068, 0.18456644438735068, 0.18456644438735068, 0.18456644438735068, 0.18456644438735068, 0.1740645553244639, 0.1740645553244639, 0.1740645553244639, 0.1740645553244639, 0.1740645553244639, 0.1740645553244639]",0.1665984551734155
2,0.6357142857142857,"[0.02732138191127949, 0.02721660417003581, 0.02721660417003581, 0.027078112082444743, 0.02703452204597174, 0.02703452204597174, 0.02703452204597174, 0.027085898869486178, 0.027085898869486178, 0.027085898869486178, 0.027085898869486178, 0.027085898869486178, 0.027085898869486178, 0.0272326700537923, 0.027475049915178375, 0.027813299254640513, 0.02801834034569812, 0.02801834034569812, 0.02801834034569812, 0.028014619249146378, 0.028255388142727343, 0.02882259398056107, 0.029157252855564537, 0.0825855893151541, 0.08249042216010723, 0.08234998098407242, 0.08234227250308027, 0.08235252832778499, 0.08234491203286648, 0.08265686558370983, 0.08308463757288047, 0.08308463757288047, 0.08308463757288047, 0.08308463757288047, 0.11172653642631704, 0.11154985029348875, 0.11153245372921858, 0.11152772052503522, 0.11152772052503522, 0.11152772052503522, 0.11164595127991436, 0.11158543194291205, 0.11113735448176906, 0.11111978994734899, 0.11111978994734899, 0.11111978994734899, 0.11122735569440999, 0.11138838184007366, 0.11138838184007366, 0.11138838184007366, 0.11138838184007366, 0.11127429001692907, 0.11155063694227901, 0.11337865131511432, 0.11337865131511432, 0.11437778903241563, 0.11556423483816435, 0.168125619410015, 0.168125619410015, 0.168125619410015, 0.168125619410015, 0.16767583562074376, 0.16767583562074376, 0.16767583562074376, 0.16767583562074376, 0.16767583562074376, 0.16767583562074376, 0.16783734775244585, 0.16830321652683086, 0.16830321652683086, 0.16912526420853546, 0.16912526420853546, 0.16912526420853546, 0.16912526420853546, 0.16912526420853546, 0.16912526420853546, 0.20829941250613404, 0.20829941250613404, 0.20752178168918617, 0.20714178630600083, 0.20727432410561938, 0.2079936307081661, 0.24715869388618003, 0.24715869388618003, 0.24715869388618003, 0.24715869388618003, 0.24715869388618003, 0.24715869388618003, 0.24402449224456424, 0.24128935749609326, 0.24128935749609326, 0.24128935749609326, 0.23833680261182869, 0.23833680261182869, 0.23833680261182869, 0.23833680261182869, 0.26368797579096914, 0.26368797579096914, 0.26368797579096914, 0.26368797579096914]",0.1300014628258853
3,0.7112676056338029,"[0.027888620784919778, 0.05475735666901195, 0.05475735666901195, 0.0545152145792942, 0.0545152145792942, 0.0545152145792942, 0.0545152145792942, 0.054327601444834867, 0.05419946011312336, 0.05425262138283996, 0.05431421194439694, 0.054369160565284756, 0.0749353183561398, 0.07418126292726863, 0.07298143647871984, 0.07188124869311786, 0.07247442173329106, 0.0743006677032125, 0.07740418689502904, 0.08140157796918011, 0.08140157796918011, 0.08501743022489666, 0.08302389384701994, 0.08302389384701994, 0.08423371017092784, 0.08720558972446134, 0.09028570845415565, 0.09505896743120795, 0.09505896743120795, 0.08994167953944197, 0.0931584841030266, 0.0931584841030266, 0.0931584841030266, 0.09658159052960051, 0.11195434785769134, 0.13367549270579962, 0.14109558610893044, 0.14109558610893044, 0.14109558610893044, 0.15341314116140353, 0.15341314116140353, 0.15341314116140353, 0.15341314116140353, 0.20240300049542334, 0.20746382826997095, 0.21459989813788485, 0.21459989813788485, 0.21459989813788485, 0.21459989813788485, 0.25289567346051844, 0.2878425531500935, 0.30532504162276397, 0.32311770484831737, 0.3729652334992506, 0.3729652334992506, 0.3729652334992506, 0.3729652334992506, 0.38884417479533656, 0.40318414333812425, 0.40318414333812425, 0.41667393428984534, 0.41667393428984534, 0.41667393428984534, 0.31446072444616996, 0.31446072444616996, 0.3256795744360245, 0.3256795744360245, 0.3256795744360245, 0.3256795744360245, 0.3256795744360245, 0.3256795744360245, 0.26050946726376534, 0.26050946726376534, 0.26050946726376534, 0.2998579844293658, 0.2998579844293658, 0.2998579844293658, 0.2998579844293658, 0.2998579844293658, 0.32595153755772516, 0.32595153755772516, 0.32595153755772516, 0.42634959396423855, 0.42634959396423855, 0.42634959396423855, 0.4479987540189061, 0.4479987540189061, 0.4479987540189061, 0.4479987540189061, 0.4479987540189061, 0.4479987540189061, 0.4479987540189061, 0.4479987540189061, 0.4479987540189061, 0.4479987540189061, 0.4479987540189061, 0.4479987540189061, 0.2550477586445632, 0.2550477586445632, 0.2550477586445632]",0.23434263850607015
4,0.6028368794326241,"[0.027718156430956518, 0.055205779390042425, 0.055205779390042425, 0.055205779390042425, 0.055205779390042425, 0.055122904307470875, 0.05494887987830113, 0.05489560060825611, 0.05489641586078147, 0.05489712922060572, 0.05484568610331663, 0.05474511331373075, 0.054499638489758626, 0.05404905063758796, 0.05384343104699461, 0.08354520968383088, 0.08286140184656524, 0.08193368416471826, 0.11428837991514491, 0.11229308280345718, 0.11229308280345718, 0.11236068294932974, 0.11142842471817611, 0.11054378344090496, 0.11054378344090496, 0.11056781213829699, 0.11070680495668889, 0.11070680495668889, 0.10974628845680684, 0.10863314017930108, 0.10883972860514374, 0.10847786673598087, 0.10736184807424604, 0.10736184807424604, 0.10750861315396569, 0.10750861315396569, 0.10601446247184268, 0.16330578368011672, 0.16347209522977912, 0.16100930179260411, 0.15862687750353802, 0.15669678705077603, 0.15669678705077603, 0.15669678705077603, 0.152351061970948, 0.152351061970948, 0.152351061970948, 0.152351061970948, 0.15031815708987958, 0.14814085270584354, 0.14814085270584354, 0.14578629663886977, 0.14676207081909257, 0.14676207081909257, 0.14676207081909257, 0.14867553376583392, 0.14467689746016055, 0.14315733693552118, 0.14315733693552118, 0.15049085299695186, 0.15659094733654233, 0.17739895327613525, 0.17739895327613525, 0.17739895327613525, 0.17739895327613525, 0.26229873132204967, 0.26229873132204967, 0.266682897324156, 0.266682897324156, 0.1930674686541261, 0.1930674686541261, 0.1930674686541261, 0.17501635427539497, 0.17501635427539497, 0.17501635427539497, 0.17343473840594786, 0.17343473840594786, 0.17343473840594786, 0.17343473840594786, 0.17343473840594786, 0.17343473840594786, 0.17343473840594786, 0.17343473840594786, 0.17343473840594786, 0.17343473840594786, 0.17343473840594786, 0.1881418484519854, 0.1881418484519854, 0.1881418484519854, 0.1881418484519854, 0.1881418484519854, 0.1881418484519854, 0.1809836486135606, 0.1809836486135606, 0.1809836486135606, 0.1809836486135606, 0.1809836486135606, 0.1809836486135606, 0.1809836486135606, 0.18121302751035814]",0.1419200756605464
5,0.7207792207792207,"[0.02763898793170642, 0.05500508889601393, 0.05500508889601393, 0.054779113245596714, 0.05431067344076309, 0.05406136484088818, 0.05406136484088818, 0.05406136484088818, 0.0535239622144538, 0.0535239622144538, 0.0535239622144538, 0.0535239622144538, 0.0535239622144538, 0.0535239622144538, 0.053269305476720694, 0.052571904736699655, 0.05216695356213504, 0.07855757966748496, 0.07855757966748496, 0.0785566000880055, 0.0785566000880055, 0.07859135234960765, 0.07831946907730329, 0.0777297867865004, 0.0773978808317494, 0.07688567835543739, 0.07688567835543739, 0.07658172074102859, 0.07645362736180611, 0.07635435273352043, 0.07630235619473426, 0.07644106150674616, 0.07621477548897235, 0.10620241129230044, 0.10620241129230044, 0.10620241129230044, 0.10630108924910811, 0.10596813588297363, 0.10624984316139316, 0.10659647488697117, 0.10659647488697117, 0.10659647488697117, 0.10659647488697117, 0.10721189143594918, 0.10721189143594918, 0.1078483117906006, 0.10787633666918409, 0.1080361652363944, 0.1080361652363944, 0.10968659699531222, 0.11100820567321143, 0.15956049629853858, 0.15956049629853858, 0.15956049629853858, 0.15956049629853858, 0.1565370610423259, 0.15371372550775633, 0.15260910467519676, 0.20452851459972096, 0.19771344016933812, 0.19476867263452036, 0.19187218597712277, 0.18911266282142508, 0.18911266282142508, 0.18911266282142508, 0.18911266282142508, 0.18630384371671035, 0.18367122765438149, 0.18612339873841421, 0.18612339873841421, 0.18899897472162794, 0.18993469351467002, 0.18993469351467002, 0.18808261490324915, 0.21187878395839427, 0.21187878395839427, 0.21187878395839427, 0.20336412608374724, 0.20336412608374724, 0.20336412608374724, 0.20336412608374724, 0.19871629555638046, 0.19871629555638046, 0.1810466685506532, 0.1810466685506532, 0.17113873002423743, 0.17113873002423743, 0.1618609443970196, 0.1532712261831061, 0.13714521949023048, 0.12997658851582797, 0.1325967513461728, 0.1325967513461728, 0.1325967513461728, 0.1325967513461728, 0.1325967513461728, 0.1273282869622183, 0.1273282869622183, 0.1606197462948389, 0.1606197462948389]",0.12604370450475955
6,0.7625,"[0.027506032629051862, 0.02746215610318546, 0.02746215610318546, 0.02746215610318546, 0.02734549086432874, 0.02734549086432874, 0.02734549086432874, 0.02734549086432874, 0.02734549086432874, 0.02734549086432874, 0.054617545716526154, 0.08145909180714878, 0.08125551139575411, 0.08105417865515, 0.08105453566774824, 0.08105453566774824, 0.08105939924642405, 0.08086192594721019, 0.08038496927352305, 0.08012587762840079, 0.07961961319738255, 0.07961961319738255, 0.07888239638546143, 0.07867925451522317, 0.0784986948947543, 0.0784986948947543, 0.07821845780384915, 0.10614904894738744, 0.10567976075478581, 0.10567976075478581, 0.10567976075478581, 0.10523583361890798, 0.10530680336830736, 0.10548050003111505, 0.10548050003111505, 0.10517167045165841, 0.10526435010495475, 0.10546813194585512, 0.10546813194585512, 0.10513331974585817, 0.13282242884839038, 0.13282242884839038, 0.13282242884839038, 0.13282242884839038, 0.13081390063988318, 0.13114086788138232, 0.13114086788138232, 0.1315219920447063, 0.1315219920447063, 0.13143158108819752, 0.1257548305724444, 0.12412071939907682, 0.12412071939907682, 0.18512985819812566, 0.18512985819812566, 0.18279606741448765, 0.18279606741448765, 0.18333768796496663, 0.18108699593634922, 0.17898943098993722, 0.17898943098993722, 0.17898943098993722, 0.17898943098993722, 0.17898943098993722, 0.1765349189685198, 0.1765349189685198, 0.17437423589565826, 0.17437423589565826, 0.17198815422162872, 0.17198815422162872, 0.17198815422162872, 0.16066798366170823, 0.16066798366170823, 0.16066798366170823, 0.15372048551240933, 0.15372048551240933, 0.22083798307641433, 0.21434050587122458, 0.20831548363662677, 0.20211415306557, 0.19160539315772163, 0.19160539315772163, 0.19160539315772163, 0.19160539315772163, 0.19160539315772163, 0.19160539315772163, 0.18724253731737586, 0.1872462973643613, 0.18380864863717805, 0.18380864863717805, 0.18380864863717805, 0.18799331413676018, 0.18799331413676018, 0.18799331413676018, 0.18799331413676018, 0.19046655291482872, 0.19046655291482872, 0.19046655291482872, 0.19628992142495547, 0.19628992142495547]",0.13336984456652956
7,0.8181818181818182,"[0.026899540911965027, 0.026375911491284338, 0.026085697035888995, 0.026085697035888995, 0.025411885257103844, 0.025411885257103844, 0.025411885257103844, 0.025411885257103844, 0.025411885257103844, 0.05251558225643303, 0.050640714773691364, 0.05018137056013897, 0.05018137056013897, 0.05018137056013897, 0.05018137056013897, 0.0489002523634917, 0.04854771880716887, 0.04849362742104704, 0.04880429486787029, 0.07720749134513395, 0.07728991012996642, 0.09303655201183988, 0.09169704040791839, 0.0910803887372427, 0.0910803887372427, 0.0910803887372427, 0.09127743625458519, 0.09310896195202575, 0.09160291241906589, 0.09299423993922525, 0.09451530749323732, 0.09624163816994782, 0.09255218036004192, 0.09533058300821962, 0.09533058300821962, 0.09533058300821962, 0.09533058300821962, 0.09756731566161539, 0.09929199842820144, 0.09929199842820144, 0.07624990942516643, 0.1418579896403875, 0.1472717443258288, 0.1472717443258288, 0.15459753658356443, 0.16058118197539994, 0.16671353801647648, 0.16671353801647648, 0.18311331745666995, 0.18311331745666995, 0.13205563023855318, 0.13205563023855318, 0.13205563023855318, 0.14304599313509175, 0.14892639514255385, 0.14899852223665058, 0.157585361990446, 0.157585361990446, 0.157585361990446, 0.157585361990446, 0.157585361990446, 0.177149645572664, 0.1879569343833091, 0.1879569343833091, 0.08934703888565206, 0.09124289845774469, 0.10423173117494568, 0.10423173117494568, 0.09324234488656309, 0.09324234488656309, 0.09324234488656309, 0.10922643717998051, 0.12769086316108683, 0.12769086316108683, 0.12769086316108683, 0.1530019531473064, 0.1530019531473064, 0.1530019531473064, 0.2015744479019363, 0.2015744479019363, 0.2015744479019363, 0.2249475146026927, 0.2249475146026927, 0.2249475146026927, 0.2249475146026927, 0.2249475146026927, 0.2249475146026927, 0.2249475146026927, 0.2249475146026927, 0.08014001962513682, 0.08014001962513682, 0.08014001962513682, 0.20852132265992274, 0.20852132265992274, 0.20852132265992274, 0.20852132265992274, 0.20852132265992274, 0.20852132265992274, 0.3523737552785652, 0.3523737552785652]",0.12527131470887665
8,0.7357142857142858,"[0.027263491943601795, 0.027263491943601795, 0.02723163039963556, 0.02723163039963556, 0.02723163039963556, 0.027233103226300126, 0.027233103226300126, 0.05157284516531642, 0.07891437257639533, 0.07836590288586141, 0.0778087867654714, 0.0772358826697274, 0.0772449555956328, 0.07600404824667265, 0.07533235192280706, 0.07459549716280811, 0.07348559096313527, 0.07348559096313527, 0.10829242555693792, 0.10662916577773417, 0.10360670089549183, 0.10356399344924358, 0.10364293101939727, 0.10343965264224797, 0.10203942041824557, 0.10213024708510562, 0.10083975943302836, 0.10097261626153427, 0.10112034978550277, 0.10112034978550277, 0.10112034978550277, 0.10112034978550277, 0.10112034978550277, 0.10126509209541326, 0.10017447994784613, 0.09903670396608907, 0.09903670396608907, 0.09903670396608907, 0.09924132344357257, 0.09924132344357257, 0.09813063795156333, 0.09813063795156333, 0.0984173402020604, 0.0984173402020604, 0.0984173402020604, 0.0985990978958224, 0.0985990978958224, 0.0971331259083123, 0.14785196543515194, 0.14785196543515194, 0.14631217012889108, 0.1450240633172849, 0.1450240633172849, 0.14541741008843148, 0.14541741008843148, 0.1470949635653424, 0.1470949635653424, 0.14785256729092597, 0.14785256729092597, 0.1509781125055129, 0.15508128221612788, 0.15508128221612788, 0.15508128221612788, 0.15508128221612788, 0.15508128221612788, 0.15628316505277498, 0.1580054066714677, 0.1580054066714677, 0.1580054066714677, 0.16136626697029083, 0.16136626697029083, 0.16136626697029083, 0.16136626697029083, 0.16136626697029083, 0.1563658744160525, 0.1563658744160525, 0.16382620055076583, 0.16382620055076583, 0.16902785075486904, 0.16902785075486904, 0.17665045923693182, 0.18502003865384992, 0.20234138541691996, 0.22997653061790363, 0.23001755146863412, 0.23001755146863412, 0.23001755146863412, 0.23001755146863412, 0.23001755146863412, 0.23001755146863412, 0.2310234684557439, 0.2310234684557439, 0.2680979342465297, 0.2680979342465297, 0.2680979342465297, 0.2680979342465297, 0.27324823109948515, 0.3295007426915896, 0.3295007426915896, 0.3295007426915896]",0.13903267809109487
