feature,mean_abs_shap
age_at_initial_pathologic_diagnosis,0.09057943471945112
hsa-mir-508,0.03332256162447717
hsa-mir-514a-1,0.032485655868404774
hsa-mir-514a-3,0.031492739079085605
hsa-mir-181b-2,0.03139131841787766
hsa-mir-181a-2,0.031303052753045305
hsa-mir-181a-1,0.031194906977632407
hsa-mir-514a-2,0.030800708148041322
hsa-mir-708,0.030732064505012577
hsa-mir-181b-1,0.030115835557773966
hsa-mir-181d,0.029989325534404226
hsa-mir-30b,0.02984153909634698
hsa-mir-22,0.029677437026290568
hsa-mir-365b,0.029414352431787923
hsa-mir-365a,0.029337672314830747
hsa-mir-183,0.029145209635905386
hsa-mir-4728,0.02894111591651481
hsa-mir-181c,0.028916057176031396
hsa-mir-518c,0.028482142506589536
hsa-mir-29c,0.02843340956898588
pathologic_stage_Stage IIB,0.02835605012233683
hsa-mir-101-1,0.028255675303286664
hsa-mir-30d,0.02823692426371412
hsa-mir-101-2,0.02823086369413171
hsa-mir-26a-2,0.02817283067368694
hsa-mir-639,0.028032112545984728
hsa-mir-196a-2,0.02799913579776782
hsa-mir-196a-1,0.027994862896743817
hsa-mir-1266,0.027902484916527956
hsa-mir-92a-1,0.02787066303544642
hsa-mir-92a-2,0.027863183637151658
hsa-mir-26a-1,0.027842730533985765
hsa-mir-3150b,0.027800529684897646
hsa-mir-23b,0.027587137689071808
hsa-mir-512-2,0.02758375691907704
hsa-mir-103a-1,0.027558009107462225
hsa-mir-103a-2,0.02750019522175199
hsa-mir-16-1,0.027495730553193556
hsa-mir-182,0.0274735700447934
hsa-mir-16-2,0.02739295821206635
hsa-mir-1180,0.027199773952324674
hsa-mir-509-1,0.02701531919812708
hsa-mir-27b,0.026893548497515962
hsa-mir-199b,0.026873214028715724
hsa-mir-517b,0.026862201157382633
hsa-mir-517a,0.026862201157382633
hsa-mir-518b,0.02684894853709336
hsa-mir-23a,0.02678995024438272
hsa-mir-34a,0.02669307217777825
hsa-mir-525,0.026655362299133793
hsa-mir-3913-1,0.026636517634800124
hsa-mir-29b-2,0.026594991447396188
hsa-mir-512-1,0.026587147961548215
hsa-mir-449b,0.026502127665353595
hsa-mir-519d,0.026479793281372153
hsa-mir-520h,0.02633244602532442
hsa-mir-320d-2,0.0263256054604172
hsa-mir-526b,0.026312694437622717
