params,mean_concordance,std_concordance,split0_c_index,split1_c_index,split2_c_index,split3_c_index,split4_c_index,split5_c_index,split6_c_index,split7_c_index,split8_c_index
"{'batch_size': 32, 'decay_lr': 0.003, 'dropout': 0.3, 'epochs': 500, 'hidden1': 64, 'hidden2': 32, 'lr': 0.0005, 'weight_decay': 1e-05}",0.7571961928553445,0.1366362142371007,0.9060402684563759,0.8918918918918919,0.7928571428571428,0.5140845070422535,0.7943262411347518,0.5454545454545454,0.68125,0.8531468531468531,0.8357142857142857
"{'batch_size': 32, 'decay_lr': 0.003, 'dropout': 0.3, 'epochs': 500, 'hidden1': 64, 'hidden2': 64, 'lr': 0.01, 'weight_decay': 0.001}",0.7435582588184567,0.10322326409941528,0.8926174496644296,0.7432432432432432,0.7428571428571429,0.6056338028169014,0.7588652482269503,0.538961038961039,0.80625,0.8321678321678322,0.7714285714285715
"{'batch_size': 32, 'decay_lr': 0.003, 'dropout': 0.3, 'epochs': 500, 'hidden1': 64, 'hidden2': 64, 'lr': 0.01, 'weight_decay': 0.0001}",0.8004052670101099,0.09387290906491669,0.9395973154362416,0.8378378378378378,0.7642857142857142,0.6690140845070423,0.7588652482269503,0.6493506493506493,0.83125,0.8391608391608392,0.9142857142857143
"{'batch_size': 32, 'decay_lr': 0.003, 'dropout': 0.3, 'epochs': 500, 'hidden1': 64, 'hidden2': 64, 'lr': 0.01, 'weight_decay': 1e-05}",0.7551462868422979,0.10482500974365101,0.9060402684563759,0.8716216216216216,0.7357142857142858,0.6056338028169014,0.723404255319149,0.5714285714285714,0.80625,0.7762237762237763,0.8
"{'batch_size': 32, 'decay_lr': 0.003, 'dropout': 0.3, 'epochs': 500, 'hidden1': 64, 'hidden2': 64, 'lr': 0.001, 'weight_decay': 0.001}",0.7631804529062217,0.09923515739384643,0.8322147651006712,0.8175675675675675,0.7857142857142857,0.6126760563380281,0.8439716312056738,0.5584415584415584,0.85625,0.7832167832167832,0.7785714285714286
"{'batch_size': 32, 'decay_lr': 0.003, 'dropout': 0.3, 'epochs': 500, 'hidden1': 64, 'hidden2': 64, 'lr': 0.001, 'weight_decay': 0.0001}",0.7494744148460085,0.0976064001366749,0.8590604026845637,0.7094594594594594,0.6857142857142857,0.5985915492957746,0.8226950354609929,0.5974025974025974,0.81875,0.8321678321678322,0.8214285714285714
"{'batch_size': 32, 'decay_lr': 0.003, 'dropout': 0.3, 'epochs': 500, 'hidden1': 64, 'hidden2': 64, 'lr': 0.001, 'weight_decay': 1e-05}",0.7532199900187815,0.10130027646553977,0.87248322147651,0.7702702702702703,0.7285714285714285,0.704225352112676,0.7943262411347518,0.5,0.8125,0.8251748251748252,0.7714285714285715
"{'batch_size': 32, 'decay_lr': 0.003, 'dropout': 0.3, 'epochs': 500, 'hidden1': 64, 'hidden2': 64, 'lr': 0.0005, 'weight_decay': 0.001}",0.7330491816291915,0.1307773635801119,0.912751677852349,0.7094594594594594,0.7285714285714285,0.6126760563380281,0.6950354609929078,0.45454545454545453,0.8375,0.8111888111888111,0.8357142857142857
"{'batch_size': 32, 'decay_lr': 0.003, 'dropout': 0.3, 'epochs': 500, 'hidden1': 64, 'hidden2': 64, 'lr': 0.0005, 'weight_decay': 0.0001}",0.6951891644181215,0.18657829628943687,0.8926174496644296,0.8108108108108109,0.6928571428571428,0.6408450704225352,0.7092198581560284,0.2077922077922078,0.7125,0.7972027972027972,0.7928571428571428
"{'batch_size': 32, 'decay_lr': 0.003, 'dropout': 0.3, 'epochs': 500, 'hidden1': 64, 'hidden2': 64, 'lr': 0.0005, 'weight_decay': 1e-05}",0.7643869158154535,0.11659911331914603,0.8926174496644296,0.831081081081081,0.75,0.5633802816901409,0.6666666666666666,0.6103896103896104,0.8125,0.8671328671328671,0.8857142857142857
