params,mean_concordance,std_concordance,split0_c_index,split1_c_index,split2_c_index,split3_c_index,split4_c_index
"{'batch_size': 32, 'dropout': 0.3, 'epochs': 200, 'hidden1': 128, 'hidden2': 64, 'hidden3': 32, 'hidden4': 16, 'lr': 0.01, 'lr_factor': 0.7, 'weight_decay': 1e-06}",0.547861467294653,0.10564672275670962,0.5180265654648957,0.3784860557768924,0.5360501567398119,0.6970954356846473,0.6096491228070176
"{'batch_size': 32, 'dropout': 0.3, 'epochs': 200, 'hidden1': 128, 'hidden2': 128, 'hidden3': 32, 'hidden4': 16, 'lr': 0.01, 'lr_factor': 0.7, 'weight_decay': 1e-06}",0.5676507174739425,0.08796003878408705,0.4667931688804554,0.48406374501992033,0.6896551724137931,0.6473029045643154,0.5504385964912281
"{'batch_size': 32, 'dropout': 0.3, 'epochs': 200, 'hidden1': 256, 'hidden2': 64, 'hidden3': 32, 'hidden4': 16, 'lr': 0.01, 'lr_factor': 0.7, 'weight_decay': 1e-06}",0.5884921551076798,0.08653033442437451,0.5787476280834914,0.5179282868525896,0.7460815047021944,0.5975103734439834,0.5021929824561403
"{'batch_size': 32, 'dropout': 0.3, 'epochs': 200, 'hidden1': 256, 'hidden2': 128, 'hidden3': 32, 'hidden4': 16, 'lr': 0.01, 'lr_factor': 0.7, 'weight_decay': 1e-06}",0.49706180025531166,0.08065560831340633,0.49335863377609107,0.3426294820717131,0.5360501567398119,0.5518672199170125,0.5614035087719298
