mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_alphas,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score
227.13460783958436,218.82752421392593,0.0,0.0,[0.02386927077491594],{'alphas': [0.02386927077491594]},0.5,0.5,0.5,0.5,0.5,0.5,0.0,25
0.8831599712371826,0.035775157806339754,0.172758150100708,0.0587149187933428,[0.09636065806844991],{'alphas': [0.09636065806844991]},0.4920353982300885,0.6862745098039216,0.5494252873563218,0.5088967971530249,0.7420634920634921,0.5957390969213698,0.1000484889513647,16
77.45929536819457,72.02282638714372,0.13996386528015137,0.0398032811298266,[0.04369838773037408],{'alphas': [0.04369838773037408]},0.5256637168141592,0.34901960784313724,0.5103448275862069,0.6441281138790036,0.7698412698412699,0.5597995071927553,0.14090283137803286,22
0.6610746860504151,0.02600376267519783,0.11747226715087891,0.030808690401309832,[0.13980281584051404],{'alphas': [0.13980281584051404]},0.479646017699115,0.6941176470588235,0.6666666666666666,0.46619217081850534,0.8095238095238095,0.623229262353384,0.13182899965351888,14
0.7538649559020996,0.09481345939689985,0.1386866092681885,0.020745025966302316,[0.146459632158875],{'alphas': [0.146459632158875]},0.479646017699115,0.6980392156862745,0.7103448275862069,0.45907473309608543,0.8333333333333334,0.636087625480203,0.14426748876685858,13
0.8945407867431641,0.1237820834605219,0.14693608283996581,0.01698780614174701,[0.18481109493099385],{'alphas': [0.18481109493099385]},0.48672566371681414,0.7431372549019608,0.7701149425287356,0.4234875444839858,0.8293650793650794,0.6505660969993151,0.16324140309893292,10
0.8846169471740722,0.05078745617952556,0.1674798011779785,0.04210273844186503,[0.407532626507474],{'alphas': [0.407532626507474]},0.48672566371681414,0.7431372549019608,0.7735632183908046,0.42704626334519574,0.8293650793650794,0.651967495943971,0.16276472053919713,3
31.337076044082643,34.413641294631475,0.0,0.0,[0.02744386104850233],{'alphas': [0.02744386104850233]},0.5,0.5,0.5,0.5,0.5,0.5,0.0,25
0.746921443939209,0.05630727034456832,0.11634597778320313,0.014579041441052286,[0.7121748387515346],{'alphas': [0.7121748387515346]},0.48672566371681414,0.7431372549019608,0.7735632183908046,0.42704626334519574,0.5,0.5860944800709551,0.14310116518031105,17
0.7666236400604248,0.10408432038582434,0.15259804725646972,0.051030257921683156,[1.133983741594535],{'alphas': [1.133983741594535]},0.48672566371681414,0.5,0.5,0.42704626334519574,0.5,0.482754385412402,0.028324546185730024,30
0.7303554058074951,0.04657001280340206,0.11142854690551758,0.006437026311849909,[0.49087449139921235],{'alphas': [0.49087449139921235]},0.48672566371681414,0.7431372549019608,0.7735632183908046,0.42704626334519574,0.8293650793650794,0.651967495943971,0.16276472053919713,3
0.704061222076416,0.04077165643241156,0.11411991119384765,0.007746885074729675,[0.28089643143828413],{'alphas': [0.28089643143828413]},0.48672566371681414,0.7431372549019608,0.7735632183908046,0.42704626334519574,0.8293650793650794,0.651967495943971,0.16276472053919713,3
23.99062113761902,22.203802125774875,0.044077157974243164,0.05407502304319583,[0.03800662914449804],{'alphas': [0.03800662914449804]},0.5185840707964602,0.5,0.5,0.5,0.8333333333333334,0.5703834808259587,0.13167179419495162,21
0.6945618152618408,0.04944495241495883,0.13208770751953125,0.03528684648037949,[0.24430939108234223],{'alphas': [0.24430939108234223]},0.48672566371681414,0.7431372549019608,0.7735632183908046,0.42704626334519574,0.8293650793650794,0.651967495943971,0.16276472053919713,3
403.45130572319033,371.34524117125557,0.0,0.0,[0.017235544567379767],{'alphas': [0.017235544567379767]},0.5,0.5,0.5,0.5,0.5,0.5,0.0,25
0.7285398960113525,0.039245132805763444,0.1254359722137451,0.033617980417969553,[0.9414532242478124],{'alphas': [0.9414532242478124]},0.48672566371681414,0.7431372549019608,0.7735632183908046,0.42704626334519574,0.5,0.5860944800709551,0.14310116518031105,17
192.53419275283812,208.3689135438209,0.02027139663696289,0.04054279327392578,[0.033056227791291144],{'alphas': [0.033056227791291144]},0.5,0.5686274509803921,0.5,0.5,0.5,0.5137254901960784,0.027450980392156855,24
22.376245307922364,33.38802932718519,0.0,0.0,[0.03155377122123899],{'alphas': [0.03155377122123899]},0.5,0.5,0.5,0.5,0.5,0.5,0.0,25
0.6213239669799805,0.02089276278178358,0.110406494140625,0.0034672125216476442,[0.6489071889129525],{'alphas': [0.6489071889129525]},0.48672566371681414,0.7431372549019608,0.7735632183908046,0.42704626334519574,0.5,0.5860944800709551,0.14310116518031105,17
0.6485555648803711,0.046540471202465725,0.11662325859069825,0.047573021159510155,[0.2681292551112308],{'alphas': [0.2681292551112308]},0.48672566371681414,0.7431372549019608,0.7735632183908046,0.42704626334519574,0.8293650793650794,0.651967495943971,0.16276472053919713,3
0.660837984085083,0.022743829960087534,0.10769801139831543,0.006025221101423599,[0.08780024278675108],{'alphas': [0.08780024278675108]},0.48672566371681414,0.7098039215686275,0.5517241379310345,0.5409252669039146,0.7380952380952381,0.6054548456431258,0.09962918998039677,15
432.08333568573,609.0273684699692,0.02594475746154785,0.0518895149230957,[0.018915988885299842],{'alphas': [0.018915988885299842]},0.5,0.5,0.7241379310344828,0.5,0.5,0.5448275862068965,0.0896551724137931,23
0.6787947177886963,0.04685206146899285,0.12347607612609864,0.036646111162164006,[0.3383407461134714],{'alphas': [0.3383407461134714]},0.48672566371681414,0.7431372549019608,0.7735632183908046,0.42704626334519574,0.8293650793650794,0.651967495943971,0.16276472053919713,3
