mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_alphas,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,split5_test_score,split6_test_score,split7_test_score,split8_test_score,split9_test_score,mean_test_score,std_test_score,rank_test_score
16.72431366443634,34.43457510477873,0.0,0.0,[0.006419467280666841],{'alphas': [0.006419467280666841]},0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.0,5
0.09833047389984131,0.027863278758483528,0.013899016380310058,0.0024712188475975324,[0.01289820551920234],{'alphas': [0.01289820551920234]},0.7708333333333334,0.550561797752809,0.532967032967033,0.43478260869565216,0.5,0.3541666666666667,0.36486486486486486,0.515625,0.6049382716049383,0.5428571428571428,0.5171596718742439,0.11442227137438268,1
5.0925919771194454,8.847729765344095,0.004788732528686524,0.006011127404263457,[0.008685845918094163],{'alphas': [0.008685845918094163]},0.5,0.5,0.5384615384615384,0.43478260869565216,0.4523809523809524,0.5,0.5,0.5,0.5,0.6571428571428571,0.5082767956681,0.056576493220438784,4
0.08699309825897217,0.021804750720096456,0.018387460708618165,0.013962003182875007,[0.015535934210864591],{'alphas': [0.015535934210864591]},0.75,0.550561797752809,0.47802197802197804,0.43478260869565216,0.5238095238095238,0.3333333333333333,0.35135135135135137,0.515625,0.6296296296296297,0.37142857142857144,0.4938543794022848,0.12386881614837231,14
0.07672996520996093,0.015427519920139183,0.013270878791809082,0.0017719017464661497,[0.015901510619002277],{'alphas': [0.015901510619002277]},0.7291666666666666,0.5393258426966292,0.4835164835164835,0.43478260869565216,0.5476190476190477,0.3125,0.32432432432432434,0.515625,0.6172839506172839,0.35714285714285715,0.48612867812789445,0.12623722012040517,15
0.06830153465270997,0.014010138203528854,0.013052153587341308,0.00131068803125063,[0.01786254903898057],{'alphas': [0.01786254903898057]},0.6875,0.48314606741573035,0.5,0.5217391304347826,0.5952380952380952,0.3125,0.2972972972972973,0.515625,0.5802469135802469,0.32857142857142857,0.4821863932537581,0.1241475099695017,18
0.07029104232788086,0.019401613595846034,0.011818242073059083,0.001577807315266305,[0.026525318405850176],{'alphas': [0.026525318405850176]},0.7916666666666666,0.3595505617977528,0.41208791208791207,0.5217391304347826,0.5238095238095238,0.4791666666666667,0.2702702702702703,0.53125,0.35802469135802467,0.3142857142857143,0.4561851137377314,0.14254795268715692,25
3.0373250246047974,4.424978868874526,0.0,0.0,[0.006883384347826799],{'alphas': [0.006883384347826799]},0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.0,5
0.07214057445526123,0.014044113420994866,0.01351473331451416,0.0013479870975774502,[0.035064909876856704],{'alphas': [0.035064909876856704]},0.8125,0.2696629213483146,0.38461538461538464,0.4782608695652174,0.35714285714285715,0.5625,0.25675675675675674,0.515625,0.32098765432098764,0.6357142857142857,0.45937657294638046,0.16798351327786307,24
0.06051383018493652,0.006068745520842456,0.014119386672973633,0.002762766918341682,[0.04424689788220134],{'alphas': [0.04424689788220134]},0.5,0.2752808988764045,0.5,0.6304347826086957,0.47619047619047616,0.5,0.30405405405405406,0.5,0.3395061728395062,0.4928571428571429,0.4518323527426279,0.10444217568700002,28
