feature,mean_abs_shap
age_at_initial_pathologic_diagnosis,0.04049013029341083
hsa-mir-150,0.022521310559162372
hsa-mir-410,0.02167165858576847
hsa-mir-153-2,0.021331031079089458
hsa-mir-4434,0.0200541155049663
hsa-mir-487b,0.01985287880167504
hsa-mir-4772,0.019775271706637128
hsa-mir-517c,0.019415421195670367
hsa-mir-512-1,0.01935430838785387
hsa-mir-517a,0.019288785598729125
hsa-mir-517b,0.01928849192940728
hsa-mir-518c,0.019225098794103886
hsa-mir-527,0.019134058961226778
hsa-mir-516b-2,0.01900952523268978
hsa-mir-518b,0.018942055405847053
hsa-mir-520d,0.018831709197731417
hsa-mir-519b,0.018799845684644396
hsa-mir-7702,0.018757892687596023
hsa-mir-1323,0.018754593375951516
hsa-mir-520f,0.01874807578192428
hsa-mir-521-1,0.018673967927054367
hsa-mir-518f,0.018666992668050365
hsa-mir-5586,0.018450300439226394
hsa-mir-511,0.01842771508855359
hsa-mir-525,0.01835738543552488
hsa-mir-1283-2,0.018298194483310437
hsa-mir-1285-1,0.01828643943337499
hsa-mir-520h,0.018067227538846646
hsa-mir-524,0.0180229073148232
hsa-mir-521-2,0.01798236613271577
hsa-mir-518a-2,0.017959574257764694
hsa-mir-585,0.01794876102323203
hsa-mir-520g,0.01788433628607994
hsa-mir-548ai,0.01784861098359737
hsa-mir-196a-1,0.017844089402011914
hsa-mir-520a,0.017810719462794607
hsa-mir-196a-2,0.017806272743360045
hsa-mir-1283-1,0.01779444926988036
hsa-mir-519d,0.01778352340620734
hsa-mir-411,0.017776296061013244
hsa-mir-1247,0.017721863244808796
hsa-mir-498,0.017657757722631357
hsa-mir-1245a,0.017640762297978837
hsa-mir-376c,0.017593501137405928
hsa-mir-4668,0.017542622863634467
hsa-mir-520b,0.017493441945832886
hsa-mir-518a-1,0.017396242301557355
hsa-mir-515-1,0.01735616253673135
hsa-mir-299,0.017337750495877456
hsa-mir-432,0.017310298903895283
hsa-mir-516b-1,0.017297001967100666
hsa-mir-519c,0.017257632850385764
hsa-mir-516a-2,0.017238639022173485
hsa-mir-20b,0.017232675058923716
hsa-mir-512-2,0.017207018388863494
hsa-mir-767,0.01711699662848962
hsa-mir-599,0.01709766719287375
hsa-mir-4501,0.017094570488868713
hsa-mir-203a,0.017044333361638266
hsa-mir-516a-1,0.017008356540291637
hsa-mir-4747,0.016872264577280645
hsa-mir-301a,0.016838160854639742
hsa-mir-642a,0.01683146472640991
hsa-mir-4736,0.01681194596477899
hsa-mir-6860,0.016804917558918494
hsa-mir-210,0.01677409516466949
hsa-mir-203b,0.01674988508212763
hsa-mir-4724,0.016635839831364626
hsa-mir-616,0.016604402235161363
hsa-mir-4652,0.016578859282085624
hsa-mir-518e,0.016552384109502816
hsa-mir-515-2,0.01652952569914762
hsa-mir-6715a,0.01649806764312144
hsa-mir-655,0.01647563818676305
hsa-mir-519a-2,0.01646872632636822
hsa-mir-105-1,0.016406940556978805
hsa-mir-6834,0.016401567513008145
hsa-mir-6849,0.01639669983998856
hsa-mir-520c,0.016387747405907052
hsa-mir-522,0.01632676267584559
hsa-mir-1258,0.016316414140540657
hsa-mir-412,0.0162950707391915
hsa-mir-3131,0.016290217130002203
hsa-mir-6769b,0.016199643849831316
hsa-mir-520e,0.016199520344520164
hsa-mir-496,0.01618931485264095
hsa-mir-184,0.01616450591371206
hsa-mir-105-2,0.01608213385620015
hsa-mir-1250,0.01608162255382161
hsa-mir-9-2,0.016039602995300703
hsa-mir-9-3,0.01603610240799926
hsa-mir-6794,0.016034031760789758
hsa-mir-449c,0.016027662354467922
hsa-mir-9-1,0.016017263737649803
hsa-mir-526b,0.016009803556947307
hsa-mir-6795,0.01599896980705592
hsa-mir-7846,0.01596430407564459
hsa-mir-615,0.015924448855557678
hsa-mir-2277,0.01591939639095703
hsa-mir-612,0.01591867683357488
hsa-mir-433,0.01590602387396352
hsa-mir-7161,0.015882229014605082
hsa-mir-4474,0.015872268246664083
hsa-mir-4431,0.015844551683694974
hsa-mir-135a-1,0.01584402942211195
hsa-mir-3188,0.01578365340882227
hsa-mir-1262,0.015777130031394252
hsa-mir-548d-2,0.01577060226853106
hsa-mir-449a,0.015768145306731787
hsa-mir-1277,0.01576463021335496
hsa-mir-323a,0.015694780572133898
hsa-mir-6513,0.015687305860506106
hsa-mir-4461,0.0156864391595211
hsa-mir-1276,0.015647155976484257
hsa-mir-3605,0.0156470770560378
hsa-mir-380,0.015613432078544839
hsa-mir-1269a,0.015602090160658015
hsa-mir-7158,0.015584084575757665
hsa-mir-5571,0.015576740103129776
hsa-mir-452,0.015564379316619614
hsa-mir-4473,0.015547738612187001
hsa-mir-6502,0.015533698137496136
hsa-mir-802,0.015523393848390207
hsa-mir-4491,0.015509787223080985
hsa-mir-135a-2,0.015497046841558481
hsa-mir-4728,0.01547373031898798
hsa-mir-656,0.015470802654947605
hsa-mir-7114,0.015458787120865198
hsa-mir-6511b-1,0.015449825278448855
hsa-mir-4453,0.015444812783149145
hsa-mir-219b,0.01543093165742161
hsa-mir-376b,0.01540312989495128
hsa-mir-487a,0.015366627929149205
hsa-mir-6873,0.015354459193454134
hsa-mir-6772,0.01534425621713315
hsa-mir-3622b,0.015336049834698443
hsa-mir-320d-1,0.015329492277559535
hsa-mir-5683,0.015320203599805144
hsa-mir-6850,0.015311788343585372
hsa-mir-1260b,0.015307093385821395
hsa-mir-6736,0.015304933926789705
hsa-mir-6832,0.01530396261528492
hsa-mir-4449,0.015302812424960933
hsa-mir-4777,0.015300510204518693
hsa-mir-4730,0.01529910985296738
hsa-mir-217,0.015272940388950888
hsa-mir-548e,0.015257465853117703
hsa-mir-3664,0.015251397933617928
hsa-mir-548ao,0.015235323550321523
hsa-mir-6716,0.01522026072607837
hsa-mir-375,0.015211708809889635
hsa-mir-5694,0.015206939142776094
hsa-mir-3130-2,0.015204281664632745
hsa-mir-887,0.015197189101566451
hsa-mir-6810,0.01513066006647922
hsa-mir-659,0.015124946049628805
hsa-mir-944,0.015097373423612056
hsa-mir-519e,0.015088813352919917
hsa-mir-4791,0.015082508299365744
hsa-mir-204,0.015059295673358375
hsa-mir-7641-2,0.01505887272272264
hsa-mir-519a-1,0.01505162436914799
hsa-mir-504,0.01503468798342062
hsa-mir-509-2,0.01503436358375759
hsa-mir-485,0.01503331126277811
hsa-mir-592,0.015027535221535208
hsa-mir-5706,0.015020413404026543
hsa-mir-4632,0.015018204280727329
hsa-mir-1246,0.014994770022608656
hsa-mir-627,0.014975948163669272
hsa-mir-6781,0.01493899695268677
hsa-mir-6884,0.014934125581534285
hsa-mir-1-1,0.014928705257430668
hsa-mir-6830,0.014912331686548546
hsa-mir-4496,0.014906474259777158
hsa-mir-7151,0.014902893389751252
hsa-mir-4804,0.014901556129489294
hsa-mir-6503,0.014899122685559575
hsa-mir-523,0.014890712886020722
hsa-mir-4533,0.014875888785069626
hsa-mir-6853,0.014871983838781041
hsa-mir-124-1,0.01485586660591775
hsa-mir-543,0.014854848841269294
hsa-mir-1539,0.014853554343963196
hsa-mir-4683,0.014841448385933988
hsa-mir-373,0.014838514870356562
hsa-mir-500b,0.014836535565685224
hsa-mir-3677,0.014828037972642009
hsa-mir-18a,0.014816483885153222
hsa-mir-4758,0.014813574713200687
hsa-mir-449b,0.014805874945980574
hsa-mir-1-2,0.014800178052368058
hsa-mir-2278,0.01479563513832261
hsa-mir-639,0.014793539997116578
hsa-mir-4714,0.014778920259268245
hsa-mir-1298,0.014772579587692002
hsa-mir-643,0.01476676807455308
hsa-mir-320d-2,0.014760641150241824
hsa-mir-4744,0.014749049028176085
hsa-mir-374c,0.014741297430782795
hsa-mir-4426,0.014730940159775099
hsa-mir-147b,0.014698328782772562
hsa-mir-149,0.01467049850702797
hsa-mir-138-1,0.014668863183332385
hsa-mir-548k,0.01465952210493781
hsa-mir-3186,0.014649786958867884
hsa-mir-6726,0.014640475896577741
hsa-mir-5009,0.014629103348090573
hsa-mir-3130-1,0.014622393818186499
hsa-mir-3926-2,0.014619880653147949
hsa-mir-363,0.014617068035922125
hsa-mir-187,0.014605914774521975
hsa-mir-6892,0.014583894667207562
hsa-mir-4690,0.014566074084087673
hsa-mir-548s,0.01455807424811363
hsa-mir-551a,0.014557574863291607
hsa-mir-377,0.014551685886854782
hsa-mir-6773,0.014546032727738958
hsa-mir-548y,0.014529562510831241
hsa-mir-3158-2,0.014528540030401396
hsa-mir-1909,0.014519340106646692
hsa-mir-555,0.014509047558933898
hsa-mir-124-3,0.01449638512437673
hsa-mir-4511,0.014482501033899822
hsa-mir-642b,0.014455452518094138
hsa-mir-326,0.01445538822044122
hsa-mir-33b,0.014449137105852185
hsa-mir-892a,0.014445785292937717
hsa-mir-1295a,0.014433368908421344
hsa-mir-1273h,0.014427511486264281
hsa-mir-3940,0.014423952589499927
hsa-mir-6800,0.014412292042393682
hsa-mir-202,0.014377417097149578
hsa-mir-4674,0.0143654838542358
hsa-mir-6754,0.01435623179338744
hsa-mir-641,0.01434876669767006
hsa-mir-4707,0.01434656795050618
hsa-mir-4521,0.014343803004675271
hsa-mir-3680-2,0.01434316716923675
hsa-mir-4487,0.014339187831880386
hsa-mir-3115,0.014328470313225415
hsa-mir-6872,0.01432832082740649
hsa-mir-6846,0.014326073617565896
hsa-mir-135b,0.01432285355247712
hsa-mir-3654,0.014320288865125779
hsa-mir-4654,0.01430992702856039
hsa-mir-4675,0.014309853979660468
hsa-mir-320e,0.014307587592783432
hsa-mir-541,0.014299960839062114
hsa-mir-154,0.014296261525756254
hsa-mir-2467,0.014288366804399847
hsa-mir-6723,0.014285828574337424
hsa-mir-3129,0.014280554608945322
hsa-mir-3200,0.014278797971318827
hsa-mir-323b,0.01425528636802295
hsa-mir-466,0.01425165574050721
hsa-mir-4797,0.014251619139445821
hsa-mir-7109,0.014222465532765674
hsa-mir-4444-2,0.014220819334696932
hsa-mir-4661,0.01421654356291404
hsa-mir-577,0.014208850402880047
hsa-mir-1270,0.01417914057383385
hsa-mir-508,0.014167867602305564
hsa-mir-4435-1,0.014154433954764506
hsa-mir-6829,0.014141651439384374
hsa-mir-376a-1,0.01413869437204272
hsa-mir-3912,0.014137852818711919
hsa-mir-320b-1,0.014130587619627691
hsa-mir-3614,0.014106964386951385
hsa-mir-1908,0.014106720029505469
hsa-mir-2115,0.01409671069369259
hsa-mir-6818,0.014094801971941606
hsa-mir-6804,0.014077527980343318
hsa-mir-4662b,0.014073130264807164
hsa-mir-7-2,0.014071938677704933
hsa-mir-3149,0.01406590346847052
hsa-mir-4773-1,0.014061971733780298
hsa-mir-301b,0.014059942226260905
hsa-mir-662,0.014058953211550373
hsa-mir-6742,0.014055033898363252
hsa-mir-6507,0.014024408144720944
hsa-mir-3144,0.014017809072520943
hsa-mir-4444-1,0.014014877648320503
hsa-mir-4767,0.014004939939697744
hsa-mir-378i,0.014002770642944494
hsa-mir-3913-2,0.01400171809849221
hsa-mir-5187,0.01399906631048133
hsa-mir-4763,0.013998762591297936
hsa-mir-5690,0.013988924205271985
hsa-mir-651,0.01398774725871238
hsa-mir-4425,0.013985325878455213
hsa-mir-224,0.013973955306466663
hsa-mir-494,0.013972410137299784
hsa-mir-5092,0.013967547033297651
hsa-mir-618,0.01396380365607958
hsa-mir-6801,0.01396008244084116
hsa-mir-4489,0.01395677731498273
hsa-mir-3137,0.013950554308002612
hsa-mir-4750,0.013949486385205215
hsa-mir-4710,0.013946812443900433
hsa-mir-3128,0.013944931258198312
hsa-mir-124-2,0.013942009885215729
hsa-mir-4498,0.013939417936729532
hsa-mir-514a-2,0.013931103686879436
hsa-mir-1236,0.013930994122400684
